É_ÉEÉìÉçÅ[ÉhÇµÇΩéûçèÅF2020/12/19 12:02:46

,éDñy,éDñy,éDñy,éDñy,éDñy,éDñy
îNåéì˙,ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈çÇãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé),ç≈í·ãCâ∑(Åé)
,,,,,,
,,ïiéøèÓïÒ,ãœéøî‘çÜ,,ïiéøèÓïÒ,ãœéøî‘çÜ
2015/1/1,-1.3,8,1,-6.4,8,1
2015/1/2,-1.6,8,1,-9.2,8,1
2015/1/3,-2.4,8,1,-9.4,8,1
2015/1/4,0.2,8,1,-5.7,8,1
2015/1/5,1.4,8,1,-6.4,8,1
2015/1/6,5.3,8,1,-5.3,8,1
2015/1/7,0.9,8,1,-8.6,8,1
2015/1/8,1.8,8,1,-0.2,8,1
2015/1/9,2.5,8,1,-1.4,8,1
2015/1/10,1.5,8,1,-2.5,8,1
2015/1/11,2.0,8,1,-1.3,8,1
2015/1/12,2.2,8,1,-0.1,8,1
2015/1/13,2.3,8,1,-4.5,8,1
2015/1/14,4.9,8,1,-5.9,8,1
2015/1/15,2.9,8,1,-4.1,8,1
2015/1/16,0.7,8,1,-2.9,8,1
2015/1/17,0.0,8,1,-6.3,8,1
2015/1/18,-3.2,8,1,-7.4,8,1
2015/1/19,-0.8,8,1,-6.2,8,1
2015/1/20,-1.2,8,1,-6.9,8,1
2015/1/21,1.7,8,1,-6.5,8,1
2015/1/22,2.9,8,1,-3.0,8,1
2015/1/23,1.5,8,1,-0.7,8,1
2015/1/24,1.0,8,1,-2.3,8,1
2015/1/25,1.6,8,1,-4.6,8,1
2015/1/26,3.7,8,1,-1.8,8,1
2015/1/27,4.7,8,1,-4.9,8,1
2015/1/28,-2.6,8,1,-7.1,8,1
2015/1/29,-0.2,8,1,-5.5,8,1
2015/1/30,2.2,8,1,-3.4,8,1
2015/1/31,3.1,8,1,-3.0,8,1
