ダウンロードした時刻：2020/12/19 11:55:40

,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2011/1/1,10.8,8,1,2.2,8,1
2011/1/2,11.0,8,1,4.1,8,1
2011/1/3,9.2,8,1,3.1,8,1
2011/1/4,9.8,8,1,3.3,8,1
2011/1/5,11.0,8,1,2.8,8,1
2011/1/6,10.8,8,1,3.1,8,1
2011/1/7,7.3,8,1,1.8,8,1
2011/1/8,10.0,8,1,1.0,8,1
2011/1/9,12.2,8,1,0.6,8,1
2011/1/10,6.1,8,1,1.4,8,1
2011/1/11,6.4,8,1,0.5,8,1
2011/1/12,9.5,8,1,1.9,8,1
2011/1/13,7.7,8,1,2.4,8,1
2011/1/14,7.3,8,1,0.0,8,1
2011/1/15,7.4,8,1,0.2,8,1
2011/1/16,5.9,8,1,-1.1,8,1
2011/1/17,11.0,8,1,-0.2,8,1
2011/1/18,10.6,8,1,0.1,8,1
2011/1/19,10.6,8,1,1.7,8,1
2011/1/20,10.1,8,1,2.2,8,1
2011/1/21,8.5,8,1,2.3,8,1
2011/1/22,10.4,8,1,2.6,8,1
2011/1/23,9.4,8,1,2.4,8,1
2011/1/24,8.2,8,1,2.5,8,1
2011/1/25,10.2,8,1,2.9,8,1
2011/1/26,9.7,8,1,1.4,8,1
2011/1/27,10.5,8,1,0.9,8,1
2011/1/28,8.0,8,1,0.4,8,1
2011/1/29,7.6,8,1,1.4,8,1
2011/1/30,6.1,8,1,0.6,8,1
2011/1/31,7.4,8,1,-1.0,8,1
2011/2/1,12.7,8,1,-0.8,8,1
2011/2/2,9.0,8,1,2.4,8,1
2011/2/3,11.9,8,1,2.0,8,1
2011/2/4,13.8,8,1,3.8,8,1
2011/2/5,11.4,8,1,3.8,8,1
2011/2/6,12.2,8,1,5.5,8,1
2011/2/7,13.8,8,1,4.5,8,1
2011/2/8,7.8,8,1,3.5,8,1
2011/2/9,9.1,8,1,1.2,8,1
2011/2/10,9.6,8,1,4.1,8,1
2011/2/11,5.5,8,1,0.8,8,1
2011/2/12,3.9,8,1,0.8,8,1
2011/2/13,8.7,8,1,-0.2,8,1
2011/2/14,6.6,8,1,0.3,8,1
2011/2/15,10.3,8,1,0.7,8,1
2011/2/16,12.2,8,1,1.6,8,1
2011/2/17,14.6,8,1,5.6,8,1
2011/2/18,14.5,8,1,5.3,8,1
2011/2/19,8.7,8,1,3.7,8,1
2011/2/20,9.1,8,1,5.0,8,1
2011/2/21,9.9,8,1,4.6,8,1
2011/2/22,11.2,8,1,3.1,8,1
2011/2/23,13.0,8,1,3.9,8,1
2011/2/24,14.2,8,1,8.0,8,1
2011/2/25,20.8,8,1,6.8,8,1
2011/2/26,10.8,8,1,3.8,8,1
2011/2/27,18.7,8,1,4.1,8,1
2011/2/28,9.5,8,1,2.2,8,1
2011/3/1,7.8,8,1,4.4,8,1
2011/3/2,10.3,8,1,2.6,8,1
2011/3/3,8.1,8,1,1.8,8,1
2011/3/4,8.3,8,1,1.9,8,1
2011/3/5,11.5,8,1,1.6,8,1
2011/3/6,15.0,8,1,2.9,8,1
2011/3/7,9.3,8,1,1.0,8,1
2011/3/8,10.0,8,1,2.6,8,1
2011/3/9,12.0,8,1,3.7,8,1
2011/3/10,10.0,8,1,2.7,8,1
2011/3/11,11.3,8,1,2.9,8,1
2011/3/12,12.9,8,1,2.3,8,1
2011/3/13,15.9,8,1,5.2,8,1
2011/3/14,20.2,8,1,6.7,8,1
2011/3/15,14.0,8,1,9.2,8,1
2011/3/16,13.0,8,1,3.5,8,1
2011/3/17,8.9,8,1,1.8,8,1
2011/3/18,10.1,8,1,1.2,8,1
2011/3/19,18.2,8,1,6.7,8,1
2011/3/20,17.0,8,1,9.4,8,1
2011/3/21,13.4,8,1,7.3,8,1
2011/3/22,7.6,8,1,5.7,8,1
2011/3/23,10.0,8,1,2.7,8,1
2011/3/24,8.1,8,1,2.9,8,1
2011/3/25,13.4,8,1,3.5,8,1
2011/3/26,11.6,8,1,4.3,8,1
2011/3/27,12.0,8,1,2.9,8,1
2011/3/28,12.7,8,1,4.4,8,1
2011/3/29,15.3,8,1,5.2,8,1
2011/3/30,16.5,8,1,6.7,8,1
2011/3/31,15.5,8,1,5.8,8,1
2011/4/1,15.7,8,1,6.6,8,1
2011/4/2,18.4,8,1,9.1,8,1
2011/4/3,9.9,8,1,6.9,8,1
2011/4/4,13.9,8,1,5.9,8,1
2011/4/5,15.4,8,1,4.3,8,1
2011/4/6,19.1,8,1,7.7,8,1
2011/4/7,20.6,8,1,10.3,8,1
2011/4/8,18.7,8,1,15.5,8,1
2011/4/9,18.0,8,1,12.3,8,1
2011/4/10,17.7,8,1,10.3,8,1
2011/4/11,19.3,8,1,8.6,8,1
2011/4/12,15.7,8,1,7.6,8,1
2011/4/13,20.5,8,1,7.1,8,1
2011/4/14,22.1,8,1,11.1,8,1
2011/4/15,22.5,8,1,13.7,8,1
2011/4/16,24.6,8,1,12.9,8,1
2011/4/17,17.6,8,1,9.6,8,1
2011/4/18,17.4,8,1,12.5,8,1
2011/4/19,18.1,8,1,7.3,8,1
