ダウンロードした時刻：2020/12/19 11:56:37

,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2014/1/1,15.5,8,1,3.1,8,1
2014/1/2,12.1,8,1,3.1,8,1
2014/1/3,8.5,8,1,3.8,8,1
2014/1/4,11.7,8,1,2.4,8,1
2014/1/5,7.3,8,1,3.9,8,1
2014/1/6,10.5,8,1,2.1,8,1
2014/1/7,9.9,8,1,1.9,8,1
2014/1/8,12.8,8,1,2.8,8,1
2014/1/9,11.8,8,1,3.0,8,1
2014/1/10,6.8,8,1,1.4,8,1
2014/1/11,9.0,8,1,0.7,8,1
2014/1/12,9.5,8,1,1.4,8,1
2014/1/13,8.3,8,1,2.4,8,1
2014/1/14,7.7,8,1,1.7,8,1
2014/1/15,4.4,8,1,1.8,8,1
2014/1/16,9.1,8,1,-0.2,8,1
2014/1/17,9.5,8,1,2.9,8,1
2014/1/18,8.6,8,1,2.8,8,1
2014/1/19,7.1,8,1,2.0,8,1
2014/1/20,8.5,8,1,0.7,8,1
2014/1/21,11.8,8,1,1.8,8,1
2014/1/22,9.6,8,1,2.1,8,1
2014/1/23,11.1,8,1,2.8,8,1
2014/1/24,12.6,8,1,2.4,8,1
2014/1/25,12.4,8,1,3.0,8,1
2014/1/26,14.5,8,1,2.4,8,1
2014/1/27,7.5,8,1,1.4,8,1
2014/1/28,15.0,8,1,1.1,8,1
2014/1/29,12.8,8,1,4.9,8,1
2014/1/30,15.8,8,1,5.1,8,1
2014/1/31,15.9,8,1,6.2,8,1
2014/2/1,12.3,8,1,3.8,8,1
2014/2/2,13.3,8,1,6.1,8,1
2014/2/3,17.8,8,1,7.0,8,1
2014/2/4,11.8,8,1,0.9,8,1
2014/2/5,5.2,8,1,-0.5,8,1
2014/2/6,6.2,8,1,-0.3,8,1
2014/2/7,7.2,8,1,1.1,8,1
2014/2/8,4.0,8,1,-0.9,8,1
2014/2/9,9.2,8,1,1.1,8,1
2014/2/10,8.7,8,1,3.3,8,1
2014/2/11,4.6,8,1,2.1,8,1
2014/2/12,8.2,8,1,2.8,8,1
2014/2/13,8.2,8,1,2.4,8,1
2014/2/14,5.4,8,1,-0.2,8,1
2014/2/15,6.9,8,1,-0.2,8,1
2014/2/16,10.0,8,1,4.5,8,1
2014/2/17,12.9,8,1,3.9,8,1
2014/2/18,8.8,8,1,2.9,8,1
2014/2/19,9.0,8,1,1.5,8,1
2014/2/20,7.6,8,1,1.4,8,1
2014/2/21,10.3,8,1,2.8,8,1
2014/2/22,9.5,8,1,1.7,8,1
2014/2/23,8.3,8,1,2.9,8,1
2014/2/24,8.8,8,1,4.0,8,1
2014/2/25,12.9,8,1,3.4,8,1
2014/2/26,14.2,8,1,5.7,8,1
2014/2/27,13.7,8,1,6.8,8,1
2014/2/28,18.6,8,1,8.5,8,1
2014/3/1,12.7,8,1,7.0,8,1
2014/3/2,7.2,8,1,4.9,8,1
2014/3/3,10.9,8,1,4.4,8,1
2014/3/4,10.9,8,1,2.3,8,1
2014/3/5,9.3,8,1,4.8,8,1
2014/3/6,9.0,8,1,3.0,8,1
2014/3/7,9.2,8,1,1.8,8,1
2014/3/8,10.2,8,1,1.9,8,1
2014/3/9,9.9,8,1,3.1,8,1
2014/3/10,8.8,8,1,1.4,8,1
2014/3/11,11.1,8,1,1.3,8,1
2014/3/12,16.6,8,1,3.3,8,1
2014/3/13,18.2,8,1,8.5,8,1
2014/3/14,13.4,8,1,6.7,8,1
2014/3/15,12.0,8,1,4.5,8,1
2014/3/16,17.5,8,1,4.5,8,1
2014/3/17,16.8,8,1,6.6,8,1
2014/3/18,20.3,8,1,8.2,8,1
2014/3/19,13.5,8,1,9.7,8,1
2014/3/20,10.4,8,1,6.7,8,1
2014/3/21,14.5,8,1,7.0,8,1
2014/3/22,14.0,8,1,5.1,8,1
2014/3/23,16.8,8,1,7.2,8,1
2014/3/24,18.5,8,1,8.5,8,1
2014/3/25,22.3,8,1,11.5,8,1
2014/3/26,19.4,8,1,13.8,8,1
2014/3/27,15.4,8,1,10.0,8,1
2014/3/28,20.2,8,1,8.4,8,1
2014/3/29,22.2,8,1,13.4,8,1
2014/3/30,19.3,8,1,14.9,8,1
2014/3/31,20.1,8,1,12.7,8,1
2014/4/1,18.1,8,1,10.9,8,1
2014/4/2,19.6,8,1,10.0,8,1
2014/4/3,15.6,8,1,12.9,8,1
2014/4/4,22.0,8,1,11.0,8,1
2014/4/5,14.9,8,1,8.4,8,1
2014/4/6,13.4,8,1,6.4,8,1
2014/4/7,16.5,8,1,6.3,8,1
2014/4/8,22.3,8,1,9.2,8,1
2014/4/9,20.4,8,1,11.3,8,1
2014/4/10,22.9,8,1,10.3,8,1
2014/4/11,18.7,8,1,7.7,8,1
2014/4/12,20.0,8,1,9.3,8,1
2014/4/13,18.7,8,1,9.6,8,1
2014/4/14,17.6,8,1,11.1,8,1
2014/4/15,20.6,8,1,10.3,8,1
2014/4/16,23.3,8,1,13.8,8,1
2014/4/17,21.8,8,1,13.5,8,1
2014/4/18,18.2,8,1,8.6,8,1
2014/4/19,17.9,8,1,8.4,8,1
