ダウンロードした時刻：2020/12/19 11:56:40

,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2015/1/1,8.2,8,1,0.7,8,1
2015/1/2,7.9,8,1,-2.2,8,1
2015/1/3,8.9,8,1,-1.1,8,1
2015/1/4,9.3,8,1,-0.4,8,1
2015/1/5,12.9,8,1,1.3,8,1
2015/1/6,16.0,8,1,5.8,8,1
2015/1/7,10.2,8,1,3.0,8,1
2015/1/8,11.2,8,1,2.0,8,1
2015/1/9,11.0,8,1,3.5,8,1
2015/1/10,11.2,8,1,1.9,8,1
2015/1/11,10.8,8,1,0.2,8,1
2015/1/12,9.0,8,1,2.0,8,1
2015/1/13,11.8,8,1,2.5,8,1
2015/1/14,11.5,8,1,1.2,8,1
2015/1/15,8.2,8,1,3.4,8,1
2015/1/16,13.2,8,1,4.9,8,1
2015/1/17,11.6,8,1,1.3,8,1
2015/1/18,10.9,8,1,-0.5,8,1
2015/1/19,11.7,8,1,-0.7,8,1
2015/1/20,11.2,8,1,2.7,8,1
2015/1/21,3.8,8,1,1.5,8,1
2015/1/22,5.6,8,1,3.2,8,1
2015/1/23,12.8,8,1,3.7,8,1
2015/1/24,8.1,8,1,2.9,8,1
2015/1/25,12.2,8,1,0.9,8,1
2015/1/26,12.9,8,1,5.6,8,1
2015/1/27,16.4,8,1,5.8,8,1
2015/1/28,9.7,8,1,1.4,8,1
2015/1/29,8.2,8,1,-0.9,8,1
2015/1/30,4.7,8,1,0.4,8,1
2015/1/31,10.5,8,1,0.8,8,1
2015/2/1,8.6,8,1,0.7,8,1
2015/2/2,9.6,8,1,1.0,8,1
2015/2/3,10.3,8,1,0.4,8,1
2015/2/4,9.6,8,1,1.1,8,1
2015/2/5,5.1,8,1,1.1,8,1
2015/2/6,12.0,8,1,-0.3,8,1
2015/2/7,9.6,8,1,1.2,8,1
2015/2/8,6.8,8,1,2.0,8,1
2015/2/9,4.9,8,1,-0.6,8,1
2015/2/10,8.1,8,1,-2.4,8,1
2015/2/11,10.9,8,1,0.2,8,1
2015/2/12,13.0,8,1,1.2,8,1
2015/2/13,12.3,8,1,1.1,8,1
2015/2/14,10.6,8,1,-1.4,8,1
2015/2/15,11.7,8,1,0.3,8,1
2015/2/16,13.2,8,1,1.5,8,1
2015/2/17,5.4,8,1,1.3,8,1
2015/2/18,4.3,8,1,2.5,8,1
2015/2/19,13.0,8,1,0.9,8,1
2015/2/20,11.9,8,1,2.5,8,1
2015/2/21,10.5,8,1,2.0,8,1
2015/2/22,8.0,8,1,4.4,8,1
2015/2/23,19.2,8,1,6.3,8,1
2015/2/24,12.7,8,1,7.2,8,1
2015/2/25,13.2,8,1,7.5,8,1
2015/2/26,7.9,8,1,5.0,8,1
2015/2/27,15.3,8,1,3.8,8,1
2015/2/28,12.8,8,1,3.0,8,1
2015/3/1,9.8,8,1,5.4,8,1
2015/3/2,14.1,8,1,5.1,8,1
2015/3/3,7.7,8,1,3.6,8,1
2015/3/4,17.5,8,1,3.2,8,1
2015/3/5,14.3,8,1,5.4,8,1
2015/3/6,12.0,8,1,4.9,8,1
2015/3/7,8.2,8,1,3.9,8,1
2015/3/8,10.9,8,1,5.9,8,1
2015/3/9,9.9,8,1,8.4,8,1
2015/3/10,13.7,8,1,1.7,8,1
2015/3/11,12.2,8,1,-0.4,8,1
2015/3/12,14.8,8,1,3.6,8,1
2015/3/13,14.4,8,1,1.8,8,1
2015/3/14,13.5,8,1,4.7,8,1
2015/3/15,13.0,8,1,4.9,8,1
2015/3/16,16.0,8,1,7.3,8,1
2015/3/17,21.2,8,1,9.2,8,1
2015/3/18,21.7,8,1,10.7,8,1
2015/3/19,15.9,8,1,10.3,8,1
2015/3/20,14.9,8,1,9.9,8,1
2015/3/21,16.0,8,1,7.2,8,1
2015/3/22,18.7,8,1,6.6,8,1
2015/3/23,17.0,8,1,4.7,8,1
2015/3/24,15.1,8,1,3.9,8,1
2015/3/25,14.3,8,1,2.7,8,1
2015/3/26,15.8,8,1,4.9,8,1
2015/3/27,20.4,8,1,4.0,8,1
2015/3/28,20.6,8,1,7.6,8,1
2015/3/29,21.1,8,1,9.0,8,1
2015/3/30,23.6,8,1,9.4,8,1
2015/3/31,23.2,8,1,9.8,8,1
2015/4/1,18.7,8,1,8.8,8,1
2015/4/2,17.4,8,1,6.5,8,1
2015/4/3,20.6,8,1,12.1,8,1
2015/4/4,19.1,8,1,10.0,8,1
2015/4/5,11.4,8,1,8.6,8,1
2015/4/6,22.9,8,1,11.2,8,1
2015/4/7,13.0,8,1,6.9,8,1
2015/4/8,7.6,8,1,2.4,8,1
2015/4/9,13.2,8,1,3.2,8,1
2015/4/10,12.1,8,1,5.3,8,1
2015/4/11,16.2,8,1,8.4,8,1
2015/4/12,18.0,8,1,8.4,8,1
2015/4/13,11.3,8,1,8.5,8,1
2015/4/14,14.1,8,1,9.3,8,1
2015/4/15,21.4,8,1,10.5,8,1
2015/4/16,21.5,8,1,8.8,8,1
2015/4/17,24.9,8,1,9.3,8,1
2015/4/18,19.7,8,1,6.8,8,1
2015/4/19,17.2,8,1,10.4,8,1
