ダウンロードした時刻：2020/12/19 11:56:44

,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2016/1/1,12.1,8,1,3.6,8,1
2016/1/2,13.4,8,1,2.6,8,1
2016/1/3,16.2,8,1,3.0,8,1
2016/1/4,15.2,8,1,4.4,8,1
2016/1/5,15.4,8,1,5.1,8,1
2016/1/6,11.3,8,1,7.1,8,1
2016/1/7,12.9,8,1,4.5,8,1
2016/1/8,10.9,8,1,3.1,8,1
2016/1/9,11.6,8,1,2.8,8,1
2016/1/10,12.9,8,1,2.4,8,1
2016/1/11,10.5,8,1,3.8,8,1
2016/1/12,6.1,8,1,0.9,8,1
2016/1/13,9.7,8,1,-0.9,8,1
2016/1/14,11.4,8,1,0.2,8,1
2016/1/15,10.9,8,1,2.0,8,1
2016/1/16,11.8,8,1,1.8,8,1
2016/1/17,8.6,8,1,2.3,8,1
2016/1/18,6.2,8,1,0.2,8,1
2016/1/19,8.6,8,1,0.9,8,1
2016/1/20,9.1,8,1,-0.7,8,1
2016/1/21,9.5,8,1,1.0,8,1
2016/1/22,10.3,8,1,3.0,8,1
2016/1/23,6.4,8,1,2.6,8,1
2016/1/24,9.2,8,1,-1.2,8,1
2016/1/25,8.4,8,1,-2.6,8,1
2016/1/26,9.6,8,1,-1.3,8,1
2016/1/27,13.4,8,1,-1.1,8,1
2016/1/28,14.0,8,1,2.1,8,1
2016/1/29,7.8,8,1,2.6,8,1
2016/1/30,5.0,8,1,1.5,8,1
2016/1/31,11.2,8,1,1.3,8,1
2016/2/1,6.7,8,1,2.6,8,1
2016/2/2,10.7,8,1,2.6,8,1
2016/2/3,9.2,8,1,1.5,8,1
2016/2/4,9.5,8,1,1.1,8,1
2016/2/5,13.3,8,1,0.6,8,1
2016/2/6,9.9,8,1,4.4,8,1
2016/2/7,9.4,8,1,1.5,8,1
2016/2/8,9.3,8,1,1.3,8,1
2016/2/9,14.7,8,1,0.6,8,1
2016/2/10,10.8,8,1,1.6,8,1
2016/2/11,11.5,8,1,1.7,8,1
2016/2/12,11.9,8,1,1.5,8,1
2016/2/13,21.8,8,1,8.3,8,1
2016/2/14,23.0,8,1,15.1,8,1
2016/2/15,15.5,8,1,3.2,8,1
2016/2/16,10.0,8,1,1.2,8,1
2016/2/17,13.4,8,1,1.3,8,1
2016/2/18,10.7,8,1,1.1,8,1
2016/2/19,16.5,8,1,2.4,8,1
2016/2/20,11.2,8,1,6.5,8,1
2016/2/21,15.7,8,1,6.2,8,1
2016/2/22,9.8,8,1,4.9,8,1
2016/2/23,10.0,8,1,4.9,8,1
2016/2/24,7.7,8,1,2.5,8,1
2016/2/25,8.4,8,1,0.4,8,1
2016/2/26,11.4,8,1,0.1,8,1
2016/2/27,12.5,8,1,2.7,8,1
2016/2/28,15.0,8,1,3.7,8,1
2016/2/29,14.8,8,1,4.8,8,1
2016/3/1,10.3,8,1,2.1,8,1
2016/3/2,12.4,8,1,1.1,8,1
2016/3/3,16.4,8,1,2.3,8,1
2016/3/4,15.9,8,1,5.6,8,1
2016/3/5,16.3,8,1,7.7,8,1
2016/3/6,17.3,8,1,9.0,8,1
2016/3/7,15.5,8,1,12.8,8,1
2016/3/8,20.8,8,1,12.7,8,1
2016/3/9,14.9,8,1,3.8,8,1
2016/3/10,8.5,8,1,3.6,8,1
2016/3/11,6.1,8,1,3.0,8,1
2016/3/12,8.4,8,1,2.9,8,1
2016/3/13,9.2,8,1,3.9,8,1
2016/3/14,6.9,8,1,3.9,8,1
2016/3/15,14.1,8,1,4.0,8,1
2016/3/16,13.9,8,1,2.9,8,1
2016/3/17,20.4,8,1,6.4,8,1
2016/3/18,21.4,8,1,7.6,8,1
2016/3/19,16.7,8,1,13.6,8,1
2016/3/20,19.0,8,1,8.3,8,1
2016/3/21,13.8,8,1,6.9,8,1
2016/3/22,17.5,8,1,5.4,8,1
2016/3/23,18.0,8,1,7.5,8,1
2016/3/24,9.5,8,1,4.1,8,1
2016/3/25,14.4,8,1,2.5,8,1
2016/3/26,12.5,8,1,5.1,8,1
2016/3/27,16.1,8,1,6.0,8,1
2016/3/28,16.8,8,1,9.0,8,1
2016/3/29,18.6,8,1,7.4,8,1
2016/3/30,20.0,8,1,9.4,8,1
2016/3/31,20.2,8,1,8.9,8,1
2016/4/1,18.4,8,1,8.1,8,1
2016/4/2,13.3,8,1,7.7,8,1
2016/4/3,17.0,8,1,9.5,8,1
2016/4/4,21.9,8,1,9.7,8,1
2016/4/5,12.8,8,1,9.1,8,1
2016/4/6,20.2,8,1,7.3,8,1
2016/4/7,20.1,8,1,11.8,8,1
2016/4/8,22.9,8,1,11.5,8,1
2016/4/9,23.5,8,1,10.9,8,1
2016/4/10,23.9,8,1,12.2,8,1
2016/4/11,17.1,8,1,7.4,8,1
2016/4/12,15.1,8,1,5.1,8,1
2016/4/13,19.0,8,1,10.6,8,1
2016/4/14,17.6,8,1,13.1,8,1
2016/4/15,21.4,8,1,11.0,8,1
2016/4/16,20.9,8,1,10.1,8,1
2016/4/17,23.1,8,1,16.6,8,1
2016/4/18,26.8,8,1,13.8,8,1
