ダウンロードした時刻：2020/12/19 11:57:27

,東京,東京,東京,東京,東京,東京
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2017/1/1,13.8,8,1,2.0,8,1
2017/1/2,13.3,8,1,3.8,8,1
2017/1/3,13.7,8,1,3.5,8,1
2017/1/4,14.0,8,1,3.6,8,1
2017/1/5,10.4,8,1,3.7,8,1
2017/1/6,8.8,8,1,1.5,8,1
2017/1/7,8.7,8,1,0.1,8,1
2017/1/8,6.0,8,1,1.6,8,1
2017/1/9,11.1,8,1,3.8,8,1
2017/1/10,12.7,8,1,3.5,8,1
2017/1/11,11.0,8,1,3.9,8,1
2017/1/12,12.1,8,1,0.7,8,1
2017/1/13,12.7,8,1,1.4,8,1
2017/1/14,6.3,8,1,-1.3,8,1
2017/1/15,4.7,8,1,-2.3,8,1
2017/1/16,8.0,8,1,-2.0,8,1
2017/1/17,10.9,8,1,0.7,8,1
2017/1/18,10.3,8,1,1.1,8,1
2017/1/19,10.9,8,1,2.4,8,1
2017/1/20,3.8,8,1,2.2,8,1
2017/1/21,11.0,8,1,1.2,8,1
2017/1/22,12.9,8,1,0.9,8,1
2017/1/23,7.9,8,1,0.2,8,1
2017/1/24,7.7,8,1,-1.9,8,1
2017/1/25,9.5,8,1,-1.2,8,1
2017/1/26,10.7,8,1,-1.4,8,1
2017/1/27,16.0,8,1,1.4,8,1
2017/1/28,13.6,8,1,4.6,8,1
2017/1/29,12.0,8,1,4.8,8,1
2017/1/30,19.5,8,1,6.7,8,1
2017/1/31,10.0,8,1,2.8,8,1
2017/2/1,10.6,8,1,2.2,8,1
2017/2/2,9.7,8,1,0.9,8,1
2017/2/3,13.7,8,1,1.0,8,1
2017/2/4,13.4,8,1,4.4,8,1
2017/2/5,9.9,8,1,3.4,8,1
2017/2/6,15.7,8,1,3.3,8,1
2017/2/7,10.0,8,1,2.2,8,1
2017/2/8,11.0,8,1,1.9,8,1
2017/2/9,5.4,8,1,1.0,8,1
2017/2/10,9.3,8,1,1.5,8,1
2017/2/11,10.1,8,1,-1.6,8,1
2017/2/12,11.2,8,1,-0.4,8,1
2017/2/13,11.8,8,1,1.0,8,1
2017/2/14,11.8,8,1,2.1,8,1
2017/2/15,12.8,8,1,1.2,8,1
2017/2/16,13.7,8,1,1.3,8,1
2017/2/17,20.6,8,1,4.8,8,1
2017/2/18,10.7,8,1,6.4,8,1
2017/2/19,11.5,8,1,1.6,8,1
2017/2/20,19.7,8,1,1.8,8,1
2017/2/21,9.9,8,1,3.6,8,1
2017/2/22,10.6,8,1,1.1,8,1
2017/2/23,16.3,8,1,8.4,8,1
2017/2/24,11.3,8,1,5.2,8,1
2017/2/25,12.7,8,1,3.5,8,1
2017/2/26,14.2,8,1,3.3,8,1
2017/2/27,9.7,8,1,4.3,8,1
2017/2/28,10.1,8,1,3.2,8,1
2017/3/1,11.1,8,1,1.4,8,1
2017/3/2,8.7,8,1,5.4,8,1
2017/3/3,16.0,8,1,3.7,8,1
2017/3/4,14.6,8,1,3.0,8,1
2017/3/5,15.9,8,1,4.9,8,1
2017/3/6,11.5,8,1,7.6,8,1
2017/3/7,10.9,8,1,2.3,8,1
2017/3/8,11.8,8,1,0.0,8,1
2017/3/9,13.0,8,1,1.3,8,1
2017/3/10,14.8,8,1,3.2,8,1
2017/3/11,13.2,8,1,4.3,8,1
2017/3/12,12.2,8,1,3.1,8,1
2017/3/13,12.8,8,1,6.0,8,1
2017/3/14,11.0,8,1,6.4,8,1
2017/3/15,7.5,8,1,4.0,8,1
2017/3/16,15.5,8,1,1.9,8,1
2017/3/17,15.2,8,1,3.8,8,1
2017/3/18,16.2,8,1,3.6,8,1
2017/3/19,18.6,8,1,5.1,8,1
2017/3/20,18.7,8,1,7.0,8,1
2017/3/21,12.9,8,1,6.8,8,1
2017/3/22,15.0,8,1,5.7,8,1
2017/3/23,15.7,8,1,4.3,8,1
2017/3/24,13.9,8,1,4.6,8,1
2017/3/25,12.7,8,1,3.4,8,1
2017/3/26,8.1,8,1,4.8,8,1
2017/3/27,8.3,8,1,2.4,8,1
2017/3/28,14.9,8,1,3.2,8,1
2017/3/29,14.7,8,1,4.3,8,1
2017/3/30,17.8,8,1,6.3,8,1
2017/3/31,12.3,8,1,4.9,8,1
2017/4/1,8.9,8,1,4.6,8,1
2017/4/2,14.2,8,1,4.6,8,1
2017/4/3,16.1,8,1,6.4,8,1
2017/4/4,17.3,8,1,4.5,8,1
2017/4/5,20.7,8,1,7.7,8,1
2017/4/6,21.2,8,1,12.9,8,1
2017/4/7,21.6,8,1,15.5,8,1
2017/4/8,17.7,8,1,12.6,8,1
2017/4/9,15.2,8,1,11.1,8,1
2017/4/10,15.7,8,1,6.9,8,1
2017/4/11,10.7,8,1,6.4,8,1
2017/4/12,21.6,8,1,8.3,8,1
2017/4/13,17.6,8,1,6.7,8,1
2017/4/14,21.5,8,1,7.4,8,1
2017/4/15,24.2,8,1,14.2,8,1
2017/4/16,26.1,8,1,12.0,8,1
2017/4/17,26.1,8,1,13.8,8,1
2017/4/18,25.7,8,1,14.1,8,1
2017/4/19,26.1,8,1,12.7,8,1
