ダウンロードした時刻：2020/12/19 11:37:59

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2014/1/1,14.7,8,1,3.2,8,1
2014/1/2,12.6,8,1,5.0,8,1
2014/1/3,9.5,8,1,4.1,8,1
2014/1/4,11.8,8,1,3.3,8,1
2014/1/5,7.3,8,1,3.9,8,1
2014/1/6,10.7,8,1,2.5,8,1
2014/1/7,9.4,8,1,2.1,8,1
2014/1/8,13.5,8,1,3.1,8,1
2014/1/9,10.3,8,1,2.8,8,1
2014/1/10,6.3,8,1,1.7,8,1
2014/1/11,8.0,8,1,0.6,8,1
2014/1/12,10.5,8,1,1.1,8,1
2014/1/13,9.3,8,1,2.0,8,1
2014/1/14,7.5,8,1,1.4,8,1
2014/1/15,4.4,8,1,1.5,8,1
2014/1/16,8.4,8,1,-0.4,8,1
2014/1/17,9.9,8,1,3.2,8,1
2014/1/18,7.6,8,1,2.7,8,1
2014/1/19,7.9,8,1,2.0,8,1
2014/1/20,8.8,8,1,1.1,8,1
2014/1/21,10.7,8,1,1.9,8,1
2014/1/22,9.2,8,1,1.9,8,1
2014/1/23,10.6,8,1,1.5,8,1
2014/1/24,13.4,8,1,1.9,8,1
2014/1/25,13.2,8,1,3.6,8,1
2014/1/26,15.1,8,1,2.8,8,1
2014/1/27,7.3,8,1,1.1,8,1
2014/1/28,14.8,8,1,1.5,8,1
2014/1/29,11.7,8,1,4.3,8,1
2014/1/30,16.4,8,1,5.5,8,1
2014/1/31,15.5,8,1,5.6,8,1
2014/2/1,11.6,8,1,4.7,8,1
2014/2/2,12.4,8,1,5.6,8,1
2014/2/3,19.1,8,1,7.0,8,1
2014/2/4,12.6,8,1,0.5,8,1
2014/2/5,5.4,8,1,-0.4,8,1
2014/2/6,5.9,8,1,-0.5,8,1
2014/2/7,7.7,8,1,1.7,8,1
2014/2/8,4.6,8,1,-1.1,8,1
2014/2/9,9.0,8,1,1.3,8,1
2014/2/10,8.5,8,1,3.5,8,1
2014/2/11,4.7,8,1,2.2,8,1
2014/2/12,8.9,8,1,2.7,8,1
2014/2/13,6.7,8,1,2.4,8,1
2014/2/14,4.9,8,1,-0.3,8,1
2014/2/15,7.9,8,1,-0.3,8,1
2014/2/16,11.0,8,1,3.4,8,1
2014/2/17,12.3,8,1,3.3,8,1
2014/2/18,8.8,8,1,2.3,8,1
2014/2/19,8.6,8,1,1.8,8,1
2014/2/20,6.9,8,1,0.7,8,1
2014/2/21,10.5,8,1,2.5,8,1
2014/2/22,8.9,8,1,1.9,8,1
2014/2/23,9.3,8,1,3.3,8,1
2014/2/24,9.1,8,1,4.1,8,1
2014/2/25,12.5,8,1,3.0,8,1
2014/2/26,14.8,8,1,3.6,8,1
2014/2/27,14.5,8,1,6.4,8,1
2014/2/28,18.9,8,1,9.1,8,1
2014/3/1,12.1,8,1,6.8,8,1
2014/3/2,7.7,8,1,4.7,8,1
2014/3/3,10.0,8,1,4.0,8,1
2014/3/4,11.0,8,1,2.9,8,1
2014/3/5,8.8,8,1,4.3,8,1
2014/3/6,8.9,8,1,2.7,8,1
2014/3/7,9.0,8,1,1.6,8,1
2014/3/8,9.9,8,1,1.1,8,1
2014/3/9,10.4,8,1,3.4,8,1
2014/3/10,9.7,8,1,2.0,8,1
2014/3/11,10.5,8,1,1.0,8,1
2014/3/12,17.1,8,1,3.2,8,1
2014/3/13,17.9,8,1,8.4,8,1
2014/3/14,17.0,8,1,6.4,8,1
2014/3/15,12.2,8,1,4.8,8,1
2014/3/16,17.2,8,1,4.3,8,1
2014/3/17,17.1,8,1,6.9,8,1
2014/3/18,19.8,8,1,8.5,8,1
2014/3/19,13.5,8,1,9.0,8,1
2014/3/20,10.1,8,1,6.4,8,1
2014/3/21,14.2,8,1,7.1,8,1
2014/3/22,13.8,8,1,4.6,8,1
2014/3/23,16.2,8,1,6.5,8,1
2014/3/24,18.7,8,1,6.5,8,1
2014/3/25,22.1,8,1,11.1,8,1
2014/3/26,18.2,8,1,13.3,8,1
2014/3/27,15.4,8,1,10.1,8,1
2014/3/28,20.7,8,1,8.0,8,1
2014/3/29,21.4,8,1,13.2,8,1
2014/3/30,18.3,8,1,14.5,8,1
2014/3/31,20.9,8,1,12.2,8,1
2014/4/1,17.4,8,1,10.8,8,1
2014/4/2,18.9,8,1,9.6,8,1
2014/4/3,14.0,8,1,12.2,8,1
2014/4/4,20.9,8,1,11.4,8,1
2014/4/5,14.6,8,1,8.4,8,1
2014/4/6,12.3,8,1,5.6,8,1
2014/4/7,15.8,8,1,4.6,8,1
2014/4/8,21.1,8,1,8.6,8,1
2014/4/9,19.7,8,1,11.1,8,1
2014/4/10,23.4,8,1,10.6,8,1
2014/4/11,17.8,8,1,7.7,8,1
2014/4/12,18.2,8,1,8.4,8,1
2014/4/13,17.6,8,1,9.5,8,1
2014/4/14,17.3,8,1,11.2,8,1
2014/4/15,21.2,8,1,10.2,8,1
2014/4/16,22.8,8,1,12.3,8,1
2014/4/17,22.2,8,1,13.2,8,1
2014/4/18,16.8,8,1,8.5,8,1
2014/4/19,17.0,8,1,9.0,8,1
