ダウンロードした時刻：2020/12/19 11:16:25

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2015/1/1,9.0,8,1,0.6,8,1
2015/1/2,7.7,8,1,-0.8,8,1
2015/1/3,8.5,8,1,0.3,8,1
2015/1/4,9.5,8,1,1.0,8,1
2015/1/5,13.3,8,1,2.7,8,1
2015/1/6,16.6,8,1,6.5,8,1
2015/1/7,9.6,8,1,3.6,8,1
2015/1/8,11.7,8,1,2.7,8,1
2015/1/9,11.6,8,1,3.3,8,1
2015/1/10,11.7,8,1,2.3,8,1
2015/1/11,11.8,8,1,1.3,8,1
2015/1/12,10.4,8,1,3.1,8,1
2015/1/13,11.1,8,1,2.9,8,1
2015/1/14,10.0,8,1,2.7,8,1
2015/1/15,8.6,8,1,4.0,8,1
2015/1/16,11.7,8,1,4.4,8,1
2015/1/17,11.4,8,1,2.7,8,1
2015/1/18,10.1,8,1,0.8,8,1
2015/1/19,10.5,8,1,1.0,8,1
2015/1/20,12.0,8,1,3.2,8,1
2015/1/21,5.2,8,1,1.7,8,1
2015/1/22,5.5,8,1,3.8,8,1
2015/1/23,13.6,8,1,4.6,8,1
2015/1/24,8.4,8,1,3.5,8,1
2015/1/25,11.6,8,1,2.2,8,1
2015/1/26,13.8,8,1,6.5,8,1
2015/1/27,15.3,8,1,6.7,8,1
2015/1/28,8.2,8,1,2.0,8,1
2015/1/29,8.0,8,1,1.4,8,1
2015/1/30,6.0,8,1,0.8,8,1
2015/1/31,11.1,8,1,2.6,8,1
2015/2/1,9.0,8,1,1.7,8,1
2015/2/2,9.8,8,1,2.3,8,1
2015/2/3,9.0,8,1,2.8,8,1
2015/2/4,8.7,8,1,3.6,8,1
2015/2/5,5.8,8,1,1.4,8,1
2015/2/6,11.4,8,1,1.0,8,1
2015/2/7,9.0,8,1,3.1,8,1
2015/2/8,7.0,8,1,2.4,8,1
2015/2/9,4.7,8,1,1.2,8,1
2015/2/10,8.8,8,1,-0.7,8,1
2015/2/11,11.6,8,1,1.4,8,1
2015/2/12,13.9,8,1,3.6,8,1
2015/2/13,10.3,8,1,1.9,8,1
2015/2/14,10.4,8,1,0.5,8,1
2015/2/15,11.7,8,1,1.8,8,1
2015/2/16,11.4,8,1,2.4,8,1
2015/2/17,6.4,8,1,3.1,8,1
2015/2/18,4.4,8,1,2.9,8,1
2015/2/19,13.5,8,1,2.2,8,1
2015/2/20,10.4,8,1,3.5,8,1
2015/2/21,10.3,8,1,3.0,8,1
2015/2/22,14.2,8,1,4.7,8,1
2015/2/23,20.7,8,1,8.2,8,1
2015/2/24,14.1,8,1,9.2,8,1
2015/2/25,12.2,8,1,8.2,8,1
2015/2/26,8.7,8,1,6.0,8,1
2015/2/27,14.2,8,1,5.2,8,1
2015/2/28,12.1,8,1,4.5,8,1
2015/3/1,9.2,8,1,5.8,8,1
2015/3/2,14.1,8,1,6.6,8,1
2015/3/3,8.7,8,1,4.5,8,1
2015/3/4,17.8,8,1,3.4,8,1
2015/3/5,13.8,8,1,6.3,8,1
2015/3/6,12.0,8,1,5.5,8,1
2015/3/7,7.9,8,1,4.0,8,1
2015/3/8,10.8,8,1,5.9,8,1
2015/3/9,10.6,8,1,8.4,8,1
2015/3/10,14.6,8,1,3.2,8,1
2015/3/11,10.7,8,1,2.1,8,1
2015/3/12,13.4,8,1,4.1,8,1
2015/3/13,14.4,8,1,4.1,8,1
2015/3/14,12.8,8,1,7.1,8,1
2015/3/15,13.2,8,1,6.2,8,1
2015/3/16,13.6,8,1,7.9,8,1
2015/3/17,20.7,8,1,9.9,8,1
2015/3/18,20.9,8,1,11.6,8,1
2015/3/19,20.4,8,1,10.8,8,1
2015/3/20,15.4,8,1,10.0,8,1
2015/3/21,13.0,8,1,9.1,8,1
2015/3/22,18.6,8,1,7.4,8,1
2015/3/23,16.1,8,1,6.1,8,1
2015/3/24,14.5,8,1,3.9,8,1
2015/3/25,14.0,8,1,4.7,8,1
2015/3/26,13.8,8,1,5.2,8,1
2015/3/27,18.4,8,1,6.3,8,1
2015/3/28,20.4,8,1,9.6,8,1
2015/3/29,19.7,8,1,11.8,8,1
2015/3/30,21.8,8,1,11.2,8,1
2015/3/31,21.2,8,1,11.2,8,1
2015/4/1,20.2,8,1,9.1,8,1
2015/4/2,16.6,8,1,7.7,8,1
2015/4/3,20.1,8,1,12.8,8,1
2015/4/4,19.8,8,1,10.3,8,1
2015/4/5,11.2,8,1,9.6,8,1
2015/4/6,21.1,8,1,11.0,8,1
2015/4/7,13.8,8,1,7.4,8,1
2015/4/8,7.6,8,1,2.8,8,1
2015/4/9,12.2,8,1,4.2,8,1
2015/4/10,11.5,8,1,6.3,8,1
2015/4/11,15.5,8,1,8.5,8,1
2015/4/12,17.7,8,1,9.8,8,1
2015/4/13,11.8,8,1,8.6,8,1
2015/4/14,13.9,8,1,9.7,8,1
2015/4/15,19.5,8,1,11.3,8,1
2015/4/16,21.6,8,1,10.1,8,1
2015/4/17,23.7,8,1,11.1,8,1
2015/4/18,18.5,8,1,8.9,8,1
2015/4/19,17.0,8,1,12.0,8,1
