ダウンロードした時刻：2020/12/19 11:15:39

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2017/1/1,13.6,8,1,4.2,8,1
2017/1/2,13.3,8,1,5.6,8,1
2017/1/3,14.1,8,1,4.5,8,1
2017/1/4,14.5,8,1,5.3,8,1
2017/1/5,10.7,8,1,4.2,8,1
2017/1/6,8.8,8,1,2.7,8,1
2017/1/7,9.2,8,1,1.2,8,1
2017/1/8,6.7,8,1,2.4,8,1
2017/1/9,11.9,8,1,5.1,8,1
2017/1/10,12.3,8,1,5.3,8,1
2017/1/11,10.5,8,1,4.8,8,1
2017/1/12,11.9,8,1,2.1,8,1
2017/1/13,12.7,8,1,4.4,8,1
2017/1/14,8.4,8,1,-0.1,8,1
2017/1/15,6.1,8,1,-1.2,8,1
2017/1/16,8.7,8,1,-0.3,8,1
2017/1/17,11.1,8,1,2.6,8,1
2017/1/18,9.9,8,1,2.1,8,1
2017/1/19,11.4,8,1,4.3,8,1
2017/1/20,4.7,8,1,2.0,8,1
2017/1/21,11.0,8,1,2.1,8,1
2017/1/22,13.6,8,1,1.8,8,1
2017/1/23,7.8,8,1,1.2,8,1
2017/1/24,7.5,8,1,0.3,8,1
2017/1/25,10.1,8,1,0.3,8,1
2017/1/26,10.0,8,1,0.6,8,1
2017/1/27,15.6,8,1,4.4,8,1
2017/1/28,12.5,8,1,5.9,8,1
2017/1/29,12.2,8,1,5.6,8,1
2017/1/30,19.3,8,1,7.5,8,1
2017/1/31,10.7,8,1,3.7,8,1
2017/2/1,10.7,8,1,3.1,8,1
2017/2/2,10.0,8,1,2.2,8,1
2017/2/3,13.8,8,1,2.8,8,1
2017/2/4,12.3,8,1,4.9,8,1
2017/2/5,9.1,8,1,4.6,8,1
2017/2/6,14.9,8,1,5.3,8,1
2017/2/7,11.4,8,1,4.2,8,1
2017/2/8,11.2,8,1,3.5,8,1
2017/2/9,6.6,8,1,1.3,8,1
2017/2/10,10.2,8,1,0.5,8,1
2017/2/11,10.3,8,1,-0.4,8,1
2017/2/12,11.3,8,1,2.0,8,1
2017/2/13,12.0,8,1,2.3,8,1
2017/2/14,10.8,8,1,2.5,8,1
2017/2/15,11.6,8,1,1.9,8,1
2017/2/16,13.7,8,1,2.9,8,1
2017/2/17,18.7,8,1,7.5,8,1
2017/2/18,11.5,8,1,6.8,8,1
2017/2/19,11.6,8,1,2.8,8,1
2017/2/20,18.5,8,1,3.7,8,1
2017/2/21,10.3,8,1,4.4,8,1
2017/2/22,10.8,8,1,2.7,8,1
2017/2/23,18.1,8,1,9.4,8,1
2017/2/24,12.0,8,1,5.6,8,1
2017/2/25,12.3,8,1,5.0,8,1
2017/2/26,12.6,8,1,4.9,8,1
2017/2/27,8.8,8,1,4.9,8,1
2017/2/28,9.0,8,1,3.8,8,1
2017/3/1,11.4,8,1,3.4,8,1
2017/3/2,8.4,8,1,5.7,8,1
2017/3/3,16.0,8,1,4.7,8,1
2017/3/4,14.2,8,1,5.2,8,1
2017/3/5,14.7,8,1,5.8,8,1
2017/3/6,11.5,8,1,8.6,8,1
2017/3/7,12.1,8,1,4.0,8,1
2017/3/8,10.7,8,1,2.0,8,1
2017/3/9,13.0,8,1,2.5,8,1
2017/3/10,13.8,8,1,5.2,8,1
2017/3/11,11.8,8,1,5.6,8,1
2017/3/12,11.7,8,1,4.8,8,1
2017/3/13,12.2,8,1,6.3,8,1
2017/3/14,11.1,8,1,6.6,8,1
2017/3/15,8.3,8,1,4.6,8,1
2017/3/16,13.8,8,1,3.8,8,1
2017/3/17,14.2,8,1,5.8,8,1
2017/3/18,15.0,8,1,5.4,8,1
2017/3/19,18.2,8,1,6.8,8,1
2017/3/20,17.7,8,1,8.9,8,1
2017/3/21,13.1,8,1,7.4,8,1
2017/3/22,15.0,8,1,6.4,8,1
2017/3/23,14.0,8,1,6.5,8,1
2017/3/24,13.5,8,1,5.7,8,1
2017/3/25,12.3,8,1,4.9,8,1
2017/3/26,9.2,8,1,4.7,8,1
2017/3/27,10.9,8,1,2.8,8,1
2017/3/28,13.3,8,1,4.6,8,1
2017/3/29,14.0,8,1,5.1,8,1
2017/3/30,17.6,8,1,6.9,8,1
2017/3/31,12.9,8,1,5.2,8,1
2017/4/1,8.8,8,1,4.8,8,1
2017/4/2,12.8,8,1,5.2,8,1
2017/4/3,16.6,8,1,7.7,8,1
2017/4/4,16.5,8,1,6.1,8,1
2017/4/5,19.7,8,1,9.9,8,1
2017/4/6,21.0,8,1,14.0,8,1
2017/4/7,20.2,8,1,16.2,8,1
2017/4/8,17.8,8,1,14.3,8,1
2017/4/9,17.7,8,1,12.1,8,1
2017/4/10,14.8,8,1,8.8,8,1
2017/4/11,12.5,8,1,6.8,8,1
2017/4/12,21.3,8,1,9.6,8,1
2017/4/13,17.8,8,1,9.0,8,1
2017/4/14,21.3,8,1,8.9,8,1
2017/4/15,22.8,8,1,16.4,8,1
2017/4/16,25.7,8,1,13.0,8,1
2017/4/17,23.6,8,1,14.8,8,1
2017/4/18,24.1,8,1,14.9,8,1
2017/4/19,25.5,8,1,14.0,8,1
