ダウンロードした時刻：2020/12/19 11:38:43

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2010/1/1,10.1,8,1,1.5,8,1
2010/1/2,10.5,8,1,2.0,8,1
2010/1/3,10.1,8,1,2.2,8,1
2010/1/4,9.9,8,1,2.9,8,1
2010/1/5,14.4,8,1,2.8,8,1
2010/1/6,10.0,8,1,3.4,8,1
2010/1/7,12.9,8,1,2.6,8,1
2010/1/8,11.6,8,1,3.6,8,1
2010/1/9,10.6,8,1,3.7,8,1
2010/1/10,12.3,8,1,3.6,8,1
2010/1/11,7.4,8,1,3.7,8,1
2010/1/12,5.3,8,1,2.8,8,1
2010/1/13,8.5,8,1,1.4,8,1
2010/1/14,9.2,8,1,-0.3,8,1
2010/1/15,9.2,8,1,0.0,8,1
2010/1/16,7.3,8,1,1.5,8,1
2010/1/17,9.0,8,1,0.5,8,1
2010/1/18,8.3,8,1,2.1,8,1
2010/1/19,14.4,8,1,2.0,8,1
2010/1/20,17.2,8,1,5.2,8,1
2010/1/21,19.1,8,1,6.8,8,1
2010/1/22,9.6,8,1,3.8,8,1
2010/1/23,8.8,8,1,2.8,8,1
2010/1/24,10.6,8,1,2.8,8,1
2010/1/25,16.0,8,1,3.1,8,1
2010/1/26,11.0,8,1,3.9,8,1
2010/1/27,12.5,8,1,2.1,8,1
2010/1/28,15.0,8,1,9.8,8,1
2010/1/29,13.3,8,1,7.3,8,1
2010/1/30,12.2,8,1,4.9,8,1
2010/1/31,12.0,8,1,5.5,8,1
2010/2/1,9.7,8,1,0.5,8,1
2010/2/2,8.1,8,1,0.8,8,1
2010/2/3,7.7,8,1,1.4,8,1
2010/2/4,6.3,8,1,-0.1,8,1
2010/2/5,10.1,8,1,0.5,8,1
2010/2/6,9.0,8,1,-0.3,8,1
2010/2/7,11.0,8,1,0.7,8,1
2010/2/8,10.0,8,1,2.2,8,1
2010/2/9,20.5,8,1,5.8,8,1
2010/2/10,13.9,8,1,5.5,8,1
2010/2/11,6.0,8,1,2.4,8,1
2010/2/12,5.1,8,1,2.3,8,1
2010/2/13,4.1,8,1,1.2,8,1
2010/2/14,7.3,8,1,0.8,8,1
2010/2/15,6.0,8,1,4.1,8,1
2010/2/16,5.0,8,1,2.5,8,1
2010/2/17,5.0,8,1,2.0,8,1
2010/2/18,6.8,8,1,0.3,8,1
2010/2/19,8.8,8,1,2.0,8,1
2010/2/20,10.5,8,1,3.0,8,1
2010/2/21,9.1,8,1,3.3,8,1
2010/2/22,10.6,8,1,4.7,8,1
2010/2/23,14.1,8,1,4.4,8,1
2010/2/24,15.8,8,1,8.0,8,1
2010/2/25,19.1,8,1,7.8,8,1
2010/2/26,17.7,8,1,13.7,8,1
2010/2/27,15.2,8,1,7.8,8,1
2010/2/28,10.0,8,1,3.8,8,1
2010/3/1,16.8,8,1,6.6,8,1
2010/3/2,8.3,8,1,4.1,8,1
2010/3/3,12.5,8,1,4.0,8,1
2010/3/4,10.3,8,1,5.6,8,1
2010/3/5,17.0,8,1,5.3,8,1
2010/3/6,14.2,8,1,8.8,8,1
2010/3/7,9.4,8,1,3.2,8,1
2010/3/8,8.3,8,1,3.3,8,1
2010/3/9,5.7,8,1,0.7,8,1
2010/3/10,14.1,8,1,1.4,8,1
2010/3/11,14.4,8,1,2.9,8,1
2010/3/12,15.0,8,1,3.9,8,1
2010/3/13,20.2,8,1,10.0,8,1
2010/3/14,14.7,8,1,7.8,8,1
2010/3/15,18.2,8,1,8.1,8,1
2010/3/16,23.7,8,1,11.4,8,1
2010/3/17,12.2,8,1,7.1,8,1
2010/3/18,14.5,8,1,6.2,8,1
2010/3/19,11.8,8,1,3.4,8,1
2010/3/20,20.3,8,1,7.0,8,1
2010/3/21,20.6,8,1,6.6,8,1
2010/3/22,13.7,8,1,5.6,8,1
2010/3/23,15.8,8,1,8.3,8,1
2010/3/24,10.1,8,1,3.2,8,1
2010/3/25,7.4,8,1,3.1,8,1
2010/3/26,12.2,8,1,5.5,8,1
2010/3/27,12.4,8,1,4.8,8,1
2010/3/28,9.4,8,1,4.0,8,1
2010/3/29,7.7,8,1,2.0,8,1
2010/3/30,9.4,8,1,1.1,8,1
2010/3/31,14.1,8,1,2.7,8,1
2010/4/1,20.4,8,1,8.2,8,1
2010/4/2,20.1,8,1,10.4,8,1
2010/4/3,14.5,8,1,8.5,8,1
2010/4/4,11.4,8,1,7.0,8,1
2010/4/5,11.1,8,1,6.8,8,1
2010/4/6,20.0,8,1,10.6,8,1
2010/4/7,17.9,8,1,7.5,8,1
2010/4/8,12.5,8,1,6.2,8,1
2010/4/9,14.8,8,1,7.6,8,1
2010/4/10,19.9,8,1,10.4,8,1
2010/4/11,23.3,8,1,14.3,8,1
2010/4/12,14.7,8,1,6.0,8,1
2010/4/13,20.0,8,1,6.6,8,1
2010/4/14,18.1,8,1,10.7,8,1
2010/4/15,10.8,8,1,5.5,8,1
2010/4/16,7.5,8,1,2.6,8,1
2010/4/17,12.9,8,1,1.6,8,1
2010/4/18,16.8,8,1,6.8,8,1
2010/4/19,20.5,8,1,9.7,8,1
