ダウンロードした時刻：2020/12/19 11:38:38

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2011/1/1,10.2,8,1,2.6,8,1
2011/1/2,11.0,8,1,4.0,8,1
2011/1/3,9.7,8,1,2.8,8,1
2011/1/4,10.1,8,1,3.6,8,1
2011/1/5,11.5,8,1,3.0,8,1
2011/1/6,9.9,8,1,3.3,8,1
2011/1/7,8.5,8,1,2.1,8,1
2011/1/8,10.4,8,1,1.7,8,1
2011/1/9,13.7,8,1,2.1,8,1
2011/1/10,7.0,8,1,1.7,8,1
2011/1/11,7.2,8,1,0.5,8,1
2011/1/12,9.1,8,1,1.8,8,1
2011/1/13,8.5,8,1,2.5,8,1
2011/1/14,8.1,8,1,0.7,8,1
2011/1/15,9.1,8,1,0.4,8,1
2011/1/16,7.2,8,1,-0.5,8,1
2011/1/17,11.9,8,1,-0.1,8,1
2011/1/18,10.7,8,1,1.9,8,1
2011/1/19,10.6,8,1,1.7,8,1
2011/1/20,9.5,8,1,3.1,8,1
2011/1/21,8.9,8,1,2.2,8,1
2011/1/22,10.7,8,1,2.4,8,1
2011/1/23,9.6,8,1,2.4,8,1
2011/1/24,8.2,8,1,3.4,8,1
2011/1/25,10.2,8,1,2.8,8,1
2011/1/26,10.9,8,1,2.9,8,1
2011/1/27,10.1,8,1,1.3,8,1
2011/1/28,8.6,8,1,0.5,8,1
2011/1/29,8.1,8,1,2.0,8,1
2011/1/30,6.6,8,1,0.5,8,1
2011/1/31,7.1,8,1,-1.3,8,1
2011/2/1,11.8,8,1,0.0,8,1
2011/2/2,9.2,8,1,3.1,8,1
2011/2/3,11.8,8,1,2.2,8,1
2011/2/4,13.3,8,1,3.6,8,1
2011/2/5,11.4,8,1,3.5,8,1
2011/2/6,12.2,8,1,4.9,8,1
2011/2/7,14.9,8,1,4.6,8,1
2011/2/8,8.9,8,1,4.3,8,1
2011/2/9,9.0,8,1,1.4,8,1
2011/2/10,9.9,8,1,4.0,8,1
2011/2/11,5.5,8,1,0.8,8,1
2011/2/12,3.8,8,1,0.8,8,1
2011/2/13,9.8,8,1,-0.2,8,1
2011/2/14,7.5,8,1,0.3,8,1
2011/2/15,11.1,8,1,0.7,8,1
2011/2/16,12.5,8,1,1.0,8,1
2011/2/17,14.6,8,1,5.8,8,1
2011/2/18,16.2,8,1,5.5,8,1
2011/2/19,9.0,8,1,3.7,8,1
2011/2/20,9.2,8,1,5.4,8,1
2011/2/21,9.4,8,1,4.7,8,1
2011/2/22,11.2,8,1,2.7,8,1
2011/2/23,12.6,8,1,3.8,8,1
2011/2/24,13.4,8,1,8.0,8,1
2011/2/25,20.8,8,1,6.7,8,1
2011/2/26,10.9,8,1,3.6,8,1
2011/2/27,18.1,8,1,4.1,8,1
2011/2/28,10.6,8,1,2.0,8,1
2011/3/1,7.0,8,1,4.3,8,1
2011/3/2,8.0,4,1,2.6,4,1
2011/3/3,8.7,8,1,1.7,8,1
2011/3/4,9.0,8,1,0.7,8,1
2011/3/5,13.0,8,1,1.4,8,1
2011/3/6,18.1,8,1,3.4,8,1
2011/3/7,9.8,8,1,0.8,8,1
2011/3/8,10.1,8,1,3.0,8,1
2011/3/9,12.5,8,1,3.5,8,1
2011/3/10,9.7,8,1,2.6,8,1
2011/3/11,12.9,8,1,2.4,8,1
2011/3/12,12.3,8,1,2.5,8,1
2011/3/13,17.0,8,1,5.7,8,1
2011/3/14,20.1,8,1,7.5,8,1
2011/3/15,14.4,8,1,10.5,8,1
2011/3/16,13.4,8,1,3.3,8,1
2011/3/17,9.4,8,1,1.5,8,1
2011/3/18,9.8,8,1,1.4,8,1
2011/3/19,17.9,8,1,8.0,8,1
2011/3/20,17.5,8,1,9.3,8,1
2011/3/21,17.2,8,1,7.5,8,1
2011/3/22,7.5,8,1,5.6,8,1
2011/3/23,9.6,8,1,1.9,8,1
2011/3/24,8.2,8,1,2.7,8,1
2011/3/25,14.2,8,1,3.2,8,1
2011/3/26,13.1,8,1,4.1,8,1
2011/3/27,11.1,8,1,2.0,8,1
2011/3/28,12.3,8,1,4.3,8,1
2011/3/29,16.1,8,1,5.2,8,1
2011/3/30,17.2,8,1,7.7,8,1
2011/3/31,14.2,8,1,6.0,8,1
2011/4/1,16.6,8,1,5.5,8,1
2011/4/2,18.1,8,1,8.7,8,1
2011/4/3,9.8,8,1,7.1,8,1
2011/4/4,15.1,8,1,6.0,8,1
2011/4/5,15.3,8,1,4.4,8,1
2011/4/6,20.0,8,1,7.7,8,1
2011/4/7,20.4,8,1,11.3,8,1
2011/4/8,18.5,8,1,15.0,8,1
2011/4/9,18.6,8,1,13.0,8,1
2011/4/10,18.0,8,1,10.3,8,1
2011/4/11,19.7,8,1,8.6,8,1
2011/4/12,17.3,8,1,7.7,8,1
2011/4/13,21.1,8,1,7.1,8,1
2011/4/14,22.8,8,1,10.8,8,1
2011/4/15,22.4,8,1,14.6,8,1
2011/4/16,24.2,8,1,12.4,8,1
2011/4/17,18.2,8,1,9.8,8,1
2011/4/18,17.3,8,1,12.8,8,1
2011/4/19,19.5,8,1,8.0,8,1
