ダウンロードした時刻：2020/12/19 11:16:03

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2016/1/1,13.0,8,1,5.2,8,1
2016/1/2,13.3,8,1,3.7,8,1
2016/1/3,15.4,8,1,5.2,8,1
2016/1/4,14.7,8,1,6.4,8,1
2016/1/5,14.8,8,1,8.4,8,1
2016/1/6,11.2,8,1,8.6,8,1
2016/1/7,13.5,8,1,6.0,8,1
2016/1/8,11.6,8,1,4.9,8,1
2016/1/9,11.7,8,1,4.1,8,1
2016/1/10,13.0,8,1,3.6,8,1
2016/1/11,10.6,8,1,5.8,8,1
2016/1/12,7.8,8,1,2.8,8,1
2016/1/13,10.1,8,1,1.9,8,1
2016/1/14,11.2,8,1,1.6,8,1
2016/1/15,10.8,8,1,3.3,8,1
2016/1/16,10.5,8,1,3.6,8,1
2016/1/17,8.8,8,1,4.3,8,1
2016/1/18,9.3,8,1,0.5,8,1
2016/1/19,9.5,8,1,2.0,8,1
2016/1/20,10.8,8,1,0.4,8,1
2016/1/21,10.0,8,1,2.0,8,1
2016/1/22,10.7,8,1,3.5,8,1
2016/1/23,6.7,8,1,3.1,8,1
2016/1/24,8.1,8,1,0.3,8,1
2016/1/25,8.2,8,1,-0.9,8,1
2016/1/26,9.4,8,1,0.6,8,1
2016/1/27,13.3,8,1,1.4,8,1
2016/1/28,13.4,8,1,3.1,8,1
2016/1/29,7.8,8,1,3.4,8,1
2016/1/30,5.4,8,1,2.0,8,1
2016/1/31,9.8,8,1,3.5,8,1
2016/2/1,6.6,8,1,3.7,8,1
2016/2/2,9.6,8,1,3.3,8,1
2016/2/3,8.7,8,1,3.3,8,1
2016/2/4,9.2,8,1,2.8,8,1
2016/2/5,11.7,8,1,2.8,8,1
2016/2/6,9.9,8,1,5.1,8,1
2016/2/7,9.5,8,1,2.6,8,1
2016/2/8,9.7,8,1,1.7,8,1
2016/2/9,12.7,8,1,1.8,8,1
2016/2/10,10.9,8,1,3.4,8,1
2016/2/11,9.9,8,1,3.3,8,1
2016/2/12,11.0,8,1,2.5,8,1
2016/2/13,20.3,8,1,8.2,8,1
2016/2/14,21.5,8,1,16.4,8,1
2016/2/15,18.6,8,1,3.0,8,1
2016/2/16,10.4,8,1,2.5,8,1
2016/2/17,13.8,8,1,2.9,8,1
2016/2/18,10.6,8,1,3.1,8,1
2016/2/19,17.5,8,1,4.4,8,1
2016/2/20,10.7,8,1,7.0,8,1
2016/2/21,15.9,8,1,6.8,8,1
2016/2/22,10.0,8,1,6.0,8,1
2016/2/23,10.1,8,1,5.6,8,1
2016/2/24,7.8,8,1,3.1,8,1
2016/2/25,7.6,8,1,1.4,8,1
2016/2/26,11.1,8,1,1.7,8,1
2016/2/27,13.0,8,1,3.6,8,1
2016/2/28,14.8,8,1,5.8,8,1
2016/2/29,14.4,8,1,5.4,8,1
2016/3/1,9.7,8,1,2.9,8,1
2016/3/2,12.0,8,1,2.1,8,1
2016/3/3,17.1,8,1,4.4,8,1
2016/3/4,15.5,8,1,7.7,8,1
2016/3/5,16.5,8,1,8.4,8,1
2016/3/6,16.6,8,1,9.2,8,1
2016/3/7,17.0,8,1,12.9,8,1
2016/3/8,20.5,8,1,12.7,8,1
2016/3/9,15.9,8,1,4.5,8,1
2016/3/10,8.7,8,1,4.2,8,1
2016/3/11,6.4,8,1,3.4,8,1
2016/3/12,8.4,8,1,4.1,8,1
2016/3/13,10.9,8,1,4.6,8,1
2016/3/14,7.3,8,1,3.8,8,1
2016/3/15,14.3,8,1,4.1,8,1
2016/3/16,13.0,8,1,4.9,8,1
2016/3/17,19.8,8,1,7.6,8,1
2016/3/18,19.1,8,1,8.4,8,1
2016/3/19,16.9,8,1,14.3,8,1
2016/3/20,15.6,8,1,10.3,8,1
2016/3/21,12.0,8,1,8.1,8,1
2016/3/22,16.8,8,1,7.2,8,1
2016/3/23,17.9,8,1,8.3,8,1
2016/3/24,9.4,8,1,4.8,8,1
2016/3/25,13.7,8,1,4.1,8,1
2016/3/26,11.0,8,1,5.7,8,1
2016/3/27,15.2,8,1,6.9,8,1
2016/3/28,14.3,8,1,8.7,8,1
2016/3/29,18.1,8,1,7.6,8,1
2016/3/30,19.6,8,1,11.1,8,1
2016/3/31,20.3,8,1,11.1,8,1
2016/4/1,18.9,8,1,8.2,8,1
2016/4/2,13.6,8,1,8.1,8,1
2016/4/3,17.8,8,1,9.9,8,1
2016/4/4,22.2,8,1,10.3,8,1
2016/4/5,12.3,8,1,10.0,8,1
2016/4/6,18.6,8,1,9.1,8,1
2016/4/7,21.2,8,1,11.5,8,1
2016/4/8,22.1,8,1,14.0,8,1
2016/4/9,22.6,8,1,12.3,8,1
2016/4/10,22.5,8,1,13.7,8,1
2016/4/11,16.7,8,1,8.3,8,1
2016/4/12,15.2,8,1,6.5,8,1
2016/4/13,19.9,8,1,11.2,8,1
2016/4/14,17.0,8,1,13.2,8,1
2016/4/15,20.8,8,1,12.9,8,1
2016/4/16,20.9,8,1,12.5,8,1
2016/4/17,21.8,8,1,17.1,8,1
2016/4/18,24.5,8,1,14.3,8,1
