ダウンロードした時刻：2020/12/19 11:38:04

,横浜,横浜,横浜,横浜,横浜,横浜
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2013/1/1,10.3,8,1,1.8,8,1
2013/1/2,13.6,8,1,5.5,8,1
2013/1/3,9.5,8,1,1.9,8,1
2013/1/4,7.0,8,1,0.4,8,1
2013/1/5,5.2,8,1,1.1,8,1
2013/1/6,9.5,8,1,-0.5,8,1
2013/1/7,7.6,8,1,3.1,8,1
2013/1/8,10.8,8,1,2.0,8,1
2013/1/9,9.9,8,1,4.2,8,1
2013/1/10,8.3,8,1,3.3,8,1
2013/1/11,9.1,8,1,1.1,8,1
2013/1/12,12.9,8,1,0.6,8,1
2013/1/13,12.7,8,1,1.9,8,1
2013/1/14,9.3,8,1,0.3,8,1
2013/1/15,7.5,8,1,2.5,8,1
2013/1/16,6.7,8,1,1.9,8,1
2013/1/17,8.5,8,1,0.7,8,1
2013/1/18,7.2,8,1,0.4,8,1
2013/1/19,9.8,8,1,0.0,8,1
2013/1/20,10.9,8,1,1.6,8,1
2013/1/21,9.9,8,1,2.9,8,1
2013/1/22,9.2,8,1,2.8,8,1
2013/1/23,8.7,8,1,2.9,8,1
2013/1/24,9.0,8,1,2.1,8,1
2013/1/25,12.2,8,1,2.9,8,1
2013/1/26,8.3,8,1,0.7,8,1
2013/1/27,9.1,8,1,0.2,8,1
2013/1/28,11.2,8,1,0.8,8,1
2013/1/29,11.8,8,1,2.1,8,1
2013/1/30,14.5,8,1,2.9,8,1
2013/1/31,8.5,8,1,1.4,8,1
2013/2/1,12.4,8,1,2.1,8,1
2013/2/2,20.3,8,1,11.7,8,1
2013/2/3,12.0,8,1,6.0,8,1
2013/2/4,15.0,8,1,6.1,8,1
2013/2/5,10.8,8,1,5.6,8,1
2013/2/6,8.9,8,1,1.7,8,1
2013/2/7,14.7,8,1,3.0,8,1
2013/2/8,7.6,8,1,1.8,8,1
2013/2/9,8.6,8,1,1.2,8,1
2013/2/10,10.3,8,1,1.7,8,1
2013/2/11,9.6,8,1,2.0,8,1
2013/2/12,6.5,8,1,0.7,8,1
2013/2/13,12.7,8,1,1.1,8,1
2013/2/14,9.5,8,1,4.7,8,1
2013/2/15,6.3,8,1,3.0,8,1
2013/2/16,6.2,8,1,0.6,8,1
2013/2/17,7.8,8,1,0.1,8,1
2013/2/18,8.4,8,1,2.0,8,1
2013/2/19,8.6,8,1,0.8,8,1
2013/2/20,7.3,8,1,1.3,8,1
2013/2/21,8.0,8,1,0.3,8,1
2013/2/22,9.9,8,1,0.7,8,1
2013/2/23,8.9,8,1,2.7,8,1
2013/2/24,9.3,8,1,0.2,8,1
2013/2/25,8.7,8,1,-0.4,8,1
2013/2/26,9.0,8,1,0.0,8,1
2013/2/27,8.5,8,1,2.3,8,1
2013/2/28,14.2,8,1,3.6,8,1
2013/3/1,17.4,8,1,10.0,8,1
2013/3/2,12.6,8,1,5.0,8,1
2013/3/3,8.9,8,1,3.6,8,1
2013/3/4,9.8,8,1,4.4,8,1
2013/3/5,13.3,8,1,3.0,8,1
2013/3/6,18.3,8,1,4.3,8,1
2013/3/7,18.7,8,1,7.7,8,1
2013/3/8,22.4,8,1,13.3,8,1
2013/3/9,22.4,8,1,12.7,8,1
2013/3/10,23.8,8,1,5.5,8,1
2013/3/11,12.4,8,1,3.6,8,1
2013/3/12,16.7,8,1,4.6,8,1
2013/3/13,21.0,8,1,12.7,8,1
2013/3/14,17.6,8,1,5.8,8,1
2013/3/15,14.3,8,1,5.3,8,1
2013/3/16,18.4,8,1,6.9,8,1
2013/3/17,16.8,8,1,6.9,8,1
2013/3/18,20.9,8,1,13.9,8,1
2013/3/19,24.5,8,1,15.9,8,1
2013/3/20,21.4,8,1,14.9,8,1
2013/3/21,16.7,8,1,7.4,8,1
2013/3/22,18.9,8,1,7.9,8,1
2013/3/23,18.2,8,1,11.2,8,1
2013/3/24,13.8,8,1,9.9,8,1
2013/3/25,11.2,8,1,7.1,8,1
2013/3/26,12.4,8,1,5.0,8,1
2013/3/27,10.1,8,1,5.7,8,1
2013/3/28,20.3,8,1,8.6,8,1
2013/3/29,20.2,8,1,12.5,8,1
2013/3/30,12.5,8,1,8.6,8,1
2013/3/31,9.2,8,1,6.8,8,1
2013/4/1,15.1,8,1,6.7,8,1
2013/4/2,11.6,8,1,8.0,8,1
2013/4/3,15.9,8,1,11.0,8,1
2013/4/4,21.4,8,1,9.5,8,1
2013/4/5,22.6,8,1,13.1,8,1
2013/4/6,20.1,8,1,15.0,8,1
2013/4/7,22.1,8,1,12.1,8,1
2013/4/8,19.3,8,1,10.0,8,1
2013/4/9,21.0,8,1,10.2,8,1
2013/4/10,17.3,8,1,8.4,8,1
2013/4/11,13.1,8,1,6.4,8,1
2013/4/12,17.6,8,1,6.8,8,1
2013/4/13,16.7,8,1,7.4,8,1
2013/4/14,20.6,8,1,11.0,8,1
2013/4/15,24.5,8,1,12.5,8,1
2013/4/16,21.4,8,1,10.9,8,1
2013/4/17,21.9,8,1,18.6,8,1
2013/4/18,23.3,8,1,15.6,8,1
2013/4/19,18.9,8,1,9.9,8,1
