ダウンロードした時刻：2020/12/23 22:06:02

,松本,松本,松本,松本,松本,松本
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2013/1/1,4.2,8,1,-1.9,8,1
2013/1/2,6.0,8,1,1.1,8,1
2013/1/3,1.2,8,1,-4.6,8,1
2013/1/4,0.6,8,1,-7.7,8,1
2013/1/5,1.9,8,1,-9.9,8,1
2013/1/6,3.3,8,1,-9.1,8,1
2013/1/7,3.4,8,1,-4.1,8,1
2013/1/8,6.9,8,1,-6.8,8,1
2013/1/9,7.4,8,1,-5.3,8,1
2013/1/10,2.8,8,1,-5.6,8,1
2013/1/11,1.9,8,1,-7.9,8,1
2013/1/12,8.7,8,1,-7.7,8,1
2013/1/13,9.1,8,1,-4.1,8,1
2013/1/14,2.4,8,1,-1.8,8,1
2013/1/15,0.6,8,1,-5.7,8,1
2013/1/16,0.9,8,1,-5.9,8,1
2013/1/17,1.7,8,1,-4.3,8,1
2013/1/18,0.2,8,1,-8.2,8,1
2013/1/19,1.6,8,1,-11.8,8,1
2013/1/20,2.9,8,1,-7.5,8,1
2013/1/21,5.0,8,1,-9.2,8,1
2013/1/22,5.6,8,1,-1.7,8,1
2013/1/23,3.1,8,1,-2.0,8,1
2013/1/24,8.2,8,1,-0.7,8,1
2013/1/25,4.0,8,1,-3.2,8,1
2013/1/26,0.7,8,1,-5.7,8,1
2013/1/27,2.0,8,1,-7.1,8,1
2013/1/28,4.0,8,1,-4.9,8,1
2013/1/29,5.3,8,1,-7.2,8,1
2013/1/30,6.2,8,1,-5.4,8,1
2013/1/31,6.6,8,1,-4.7,8,1
2013/2/1,11.8,8,1,-6.6,8,1
2013/2/2,17.1,8,1,2.7,8,1
2013/2/3,4.4,8,1,-1.5,8,1
2013/2/4,12.0,8,1,-0.1,8,1
2013/2/5,3.9,8,1,-0.6,8,1
2013/2/6,1.0,8,1,-3.8,8,1
2013/2/7,7.4,8,1,-4.8,8,1
2013/2/8,1.4,8,1,-6.4,8,1
2013/2/9,2.4,8,1,-8.1,8,1
2013/2/10,6.8,8,1,-8.5,8,1
2013/2/11,1.8,8,1,-6.5,8,1
2013/2/12,4.7,8,1,-6.9,8,1
2013/2/13,6.0,8,1,-3.2,8,1
2013/2/14,7.2,8,1,-4.0,8,1
2013/2/15,0.4,8,1,-2.4,8,1
2013/2/16,-0.4,8,1,-9.4,8,1
2013/2/17,-0.4,8,1,-11.9,8,1
2013/2/18,4.3,8,1,-1.6,8,1
2013/2/19,0.9,8,1,-5.9,8,1
2013/2/20,5.0,8,1,-9.5,8,1
2013/2/21,3.3,8,1,-6.5,8,1
2013/2/22,4.9,8,1,-8.8,8,1
2013/2/23,4.2,8,1,-4.3,8,1
2013/2/24,0.3,8,1,-6.1,8,1
2013/2/25,2.3,8,1,-10.1,8,1
2013/2/26,4.1,8,1,-10.0,8,1
2013/2/27,9.1,8,1,-1.5,8,1
2013/2/28,11.6,8,1,-1.3,8,1
2013/3/1,11.8,8,1,0.7,8,1
2013/3/2,6.1,8,1,-2.9,8,1
2013/3/3,4.3,8,1,-5.7,8,1
2013/3/4,7.7,8,1,-2.0,8,1
2013/3/5,10.3,8,1,-4.4,8,1
2013/3/6,15.8,8,1,-4.9,8,1
2013/3/7,17.6,8,1,-0.9,8,1
2013/3/8,15.1,8,1,8.9,8,1
2013/3/9,22.1,8,1,7.7,8,1
2013/3/10,18.8,8,1,-2.5,8,1
2013/3/11,5.9,8,1,-5.1,8,1
2013/3/12,19.5,8,1,-5.6,8,1
2013/3/13,16.6,8,1,2.1,8,1
2013/3/14,2.7,8,1,-2.2,8,1
2013/3/15,15.9,8,1,-4.8,8,1
2013/3/16,16.1,8,1,-2.2,8,1
2013/3/17,19.6,8,1,-1.5,8,1
2013/3/18,17.7,8,1,10.4,8,1
2013/3/19,21.8,8,1,7.3,8,1
2013/3/20,19.4,8,1,5.7,8,1
2013/3/21,9.8,8,1,-1.5,8,1
2013/3/22,19.2,8,1,-3.2,8,1
2013/3/23,10.2,8,1,-0.7,8,1
2013/3/24,20.1,8,1,-2.6,8,1
2013/3/25,13.0,8,1,0.4,8,1
2013/3/26,10.9,8,1,-3.2,8,1
2013/3/27,16.1,8,1,-2.3,8,1
2013/3/28,21.5,8,1,7.7,8,1
2013/3/29,19.9,8,1,4.3,8,1
2013/3/30,10.1,8,1,2.2,8,1
2013/3/31,13.2,8,1,1.8,8,1
2013/4/1,15.1,8,1,1.8,8,1
2013/4/2,19.3,8,1,4.4,8,1
2013/4/3,13.8,8,1,6.0,8,1
2013/4/4,19.4,8,1,5.2,8,1
2013/4/5,25.2,8,1,3.5,8,1
2013/4/6,16.7,8,1,10.2,8,1
2013/4/7,17.4,8,1,4.6,8,1
2013/4/8,16.6,8,1,0.7,8,1
2013/4/9,20.3,8,1,1.4,8,1
2013/4/10,14.1,8,1,2.0,8,1
2013/4/11,10.7,8,1,0.4,8,1
2013/4/12,11.5,8,1,1.7,8,1
2013/4/13,16.2,8,1,-0.3,8,1
2013/4/14,19.9,8,1,5.4,8,1
2013/4/15,20.1,8,1,4.6,8,1
2013/4/16,23.9,8,1,3.2,8,1
