ダウンロードした時刻：2020/12/23 22:05:41

,松本,松本,松本,松本,松本,松本
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2014/1/1,8.7,8,1,2.0,8,1
2014/1/2,6.8,8,1,-3.4,8,1
2014/1/3,5.5,8,1,-5.2,8,1
2014/1/4,4.0,8,1,-3.5,8,1
2014/1/5,2.5,8,1,-3.9,8,1
2014/1/6,3.9,8,1,-7.4,8,1
2014/1/7,8.4,8,1,-8.6,8,1
2014/1/8,9.4,8,1,-1.0,8,1
2014/1/9,2.7,5,1,-5.4,5,1
2014/1/10,1.1,8,1,-7.8,8,1
2014/1/11,3.0,8,1,-8.4,8,1
2014/1/12,6.1,8,1,-8.1,8,1
2014/1/13,1.8,8,1,-7.6,8,1
2014/1/14,-0.1,8,1,-10.0,8,1
2014/1/15,0.7,8,1,-7.2,8,1
2014/1/16,4.0,8,1,-6.5,8,1
2014/1/17,1.7,8,1,-5.7,8,1
2014/1/18,2.0,8,1,-8.1,8,1
2014/1/19,1.4,8,1,-7.4,8,1
2014/1/20,4.9,8,1,-8.0,8,1
2014/1/21,5.5,8,1,-1.6,8,1
2014/1/22,3.9,8,1,-5.0,8,1
2014/1/23,2.4,8,1,-7.9,8,1
2014/1/24,11.5,8,1,-8.0,8,1
2014/1/25,11.6,8,1,-3.1,8,1
2014/1/26,7.2,8,1,-4.6,8,1
2014/1/27,3.4,8,1,-6.5,8,1
2014/1/28,11.0,8,1,-1.8,8,1
2014/1/29,6.7,8,1,-2.2,8,1
2014/1/30,9.9,8,1,-3.1,8,1
2014/1/31,10.0,8,1,-1.5,8,1
2014/2/1,11.4,8,1,-4.5,8,1
2014/2/2,15.0,8,1,1.3,8,1
2014/2/3,16.2,8,1,-0.1,8,1
2014/2/4,3.4,8,1,-5.9,8,1
2014/2/5,0.0,8,1,-8.5,8,1
2014/2/6,-1.0,8,1,-9.6,8,1
2014/2/7,1.1,8,1,-6.9,8,1
2014/2/8,-2.8,8,1,-5.3,8,1
2014/2/9,4.4,8,1,-5.2,8,1
2014/2/10,3.3,8,1,-7.6,8,1
2014/2/11,1.2,8,1,-8.5,8,1
2014/2/12,3.4,8,1,-10.4,8,1
2014/2/13,2.9,8,1,-3.6,8,1
2014/2/14,-2.7,8,1,-4.0,8,1
2014/2/15,1.3,8,1,-3.0,8,1
2014/2/16,3.9,8,1,-6.7,8,1
2014/2/17,3.7,8,1,-10.8,8,1
2014/2/18,1.1,8,1,-6.0,8,1
2014/2/19,2.1,8,1,-6.7,8,1
2014/2/20,2.9,8,1,-8.2,8,1
2014/2/21,3.3,8,1,-7.4,8,1
2014/2/22,3.4,8,1,-9.1,8,1
2014/2/23,4.2,8,1,-6.1,8,1
2014/2/24,4.1,8,1,-7.1,8,1
2014/2/25,7.8,8,1,-6.4,8,1
2014/2/26,9.2,8,1,-6.8,8,1
2014/2/27,10.8,8,1,0.5,8,1
2014/2/28,10.9,8,1,2.9,8,1
2014/3/1,4.9,8,1,1.6,8,1
2014/3/2,3.8,8,1,0.2,8,1
2014/3/3,3.9,8,1,-3.6,8,1
2014/3/4,11.6,8,1,-6.3,8,1
2014/3/5,4.6,8,1,0.2,8,1
2014/3/6,3.0,8,1,-4.2,8,1
2014/3/7,2.6,8,1,-6.5,8,1
2014/3/8,6.5,8,1,-4.9,8,1
2014/3/9,8.5,8,1,-3.5,8,1
2014/3/10,-1.0,8,1,-5.1,8,1
2014/3/11,6.2,8,1,-8.3,8,1
2014/3/12,16.6,8,1,-2.3,8,1
2014/3/13,11.1,8,1,2.8,8,1
2014/3/14,5.8,8,1,-1.1,8,1
2014/3/15,8.7,8,1,-2.6,8,1
2014/3/16,13.1,8,1,-2.9,8,1
2014/3/17,16.3,8,1,-0.6,8,1
2014/3/18,14.0,8,1,4.1,8,1
2014/3/19,10.6,8,1,2.4,8,1
2014/3/20,5.1,8,1,2.8,8,1
2014/3/21,6.9,8,1,-1.6,8,1
2014/3/22,9.9,8,1,-3.5,8,1
2014/3/23,13.2,8,1,-3.4,8,1
2014/3/24,17.8,8,1,-1.3,8,1
2014/3/25,17.5,8,1,8.3,8,1
2014/3/26,18.1,8,1,7.4,8,1
2014/3/27,14.1,8,1,3.6,8,1
2014/3/28,20.4,8,1,0.4,8,1
2014/3/29,22.9,8,1,4.6,8,1
2014/3/30,14.2,8,1,6.5,8,1
2014/3/31,14.5,8,1,5.3,8,1
2014/4/1,16.4,8,1,1.1,8,1
2014/4/2,20.2,8,1,2.8,8,1
2014/4/3,20.8,8,1,5.3,8,1
2014/4/4,14.2,8,1,2.8,8,1
2014/4/5,10.2,8,1,0.5,8,1
2014/4/6,7.4,8,1,-1.4,8,1
2014/4/7,15.8,8,1,-3.4,8,1
2014/4/8,19.3,8,1,0.9,8,1
2014/4/9,21.0,8,1,0.6,8,1
2014/4/10,20.4,8,1,2.1,8,1
2014/4/11,14.0,8,1,-0.9,8,1
2014/4/12,15.7,8,1,-1.2,8,1
2014/4/13,16.3,8,1,0.5,8,1
2014/4/14,18.6,8,1,0.5,8,1
2014/4/15,22.9,8,1,1.6,8,1
2014/4/16,22.7,8,1,6.8,8,1
