ダウンロードした時刻：2020/12/23 22:06:48

,松本,松本,松本,松本,松本,松本
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2010/1/1,2.0,8,1,-3.4,8,1
2010/1/2,5.3,8,1,-4.9,8,1
2010/1/3,3.0,8,1,-3.2,8,1
2010/1/4,4.8,8,1,-5.4,8,1
2010/1/5,7.6,8,1,-1.2,8,1
2010/1/6,2.2,8,1,-3.9,8,1
2010/1/7,7.0,8,1,-4.1,8,1
2010/1/8,6.6,8,1,-4.2,8,1
2010/1/9,6.1,8,1,-6.6,8,1
2010/1/10,5.1,8,1,-3.7,8,1
2010/1/11,5.1,8,1,-4.0,8,1
2010/1/12,5.1,8,1,-2.2,8,1
2010/1/13,1.3,8,1,-4.0,8,1
2010/1/14,1.6,8,1,-5.5,8,1
2010/1/15,1.6,8,1,-6.8,8,1
2010/1/16,1.2,8,1,-7.3,8,1
2010/1/17,3.7,8,1,-9.9,8,1
2010/1/18,5.0,8,1,-7.4,8,1
2010/1/19,8.9,8,1,-6.2,8,1
2010/1/20,15.4,8,1,-4.7,8,1
2010/1/21,11.8,8,1,-2.4,8,1
2010/1/22,4.9,8,1,-5.5,8,1
2010/1/23,5.7,8,1,-2.4,8,1
2010/1/24,7.1,8,1,-5.2,8,1
2010/1/25,8.3,8,1,-5.3,8,1
2010/1/26,4.9,8,1,-4.6,8,1
2010/1/27,10.8,8,1,-8.2,8,1
2010/1/28,11.9,8,1,1.1,8,1
2010/1/29,8.2,8,1,-1.3,8,1
2010/1/30,9.9,8,1,-4.2,8,1
2010/1/31,11.1,8,1,-3.7,8,1
2010/2/1,5.9,8,1,-1.8,8,1
2010/2/2,5.9,8,1,-4.6,8,1
2010/2/3,3.4,8,1,-4.9,8,1
2010/2/4,3.5,8,1,-6.6,8,1
2010/2/5,4.5,8,1,-3.4,8,1
2010/2/6,-1.6,8,1,-5.0,8,1
2010/2/7,4.5,8,1,-6.5,8,1
2010/2/8,9.4,8,1,-7.1,8,1
2010/2/9,16.5,8,1,5.9,8,1
2010/2/10,7.7,8,1,0.7,8,1
2010/2/11,1.4,8,1,-0.7,8,1
2010/2/12,1.7,8,1,-2.0,8,1
2010/2/13,0.9,8,1,-2.8,8,1
2010/2/14,2.7,8,1,-4.0,8,1
2010/2/15,1.5,8,1,-0.8,8,1
2010/2/16,2.3,8,1,-2.4,8,1
2010/2/17,0.7,8,1,-4.9,8,1
2010/2/18,7.5,8,1,-3.0,8,1
2010/2/19,6.0,8,1,-5.4,8,1
2010/2/20,7.5,8,1,-4.4,8,1
2010/2/21,6.5,8,1,-2.2,8,1
2010/2/22,12.8,8,1,-5.0,8,1
2010/2/23,16.5,8,1,0.0,8,1
2010/2/24,18.4,8,1,-1.6,8,1
2010/2/25,19.2,8,1,-0.2,8,1
2010/2/26,15.4,8,1,9.3,8,1
2010/2/27,10.0,8,1,5.0,8,1
2010/2/28,6.5,8,1,1.6,8,1
2010/3/1,15.6,8,1,2.5,8,1
2010/3/2,11.5,8,1,3.4,8,1
2010/3/3,11.1,8,1,0.2,8,1
2010/3/4,5.8,8,1,0.2,8,1
2010/3/5,19.3,8,1,3.1,8,1
2010/3/6,8.5,8,1,4.2,8,1
2010/3/7,4.2,8,1,-0.4,8,1
2010/3/8,3.5,8,1,-0.6,8,1
2010/3/9,0.0,8,1,-1.2,8,1
2010/3/10,6.4,8,1,-1.3,8,1
2010/3/11,6.7,8,1,-1.7,8,1
2010/3/12,11.5,8,1,-4.0,8,1
2010/3/13,14.8,8,1,0.2,8,1
2010/3/14,11.6,8,1,-0.1,8,1
2010/3/15,15.3,8,1,-1.0,8,1
2010/3/16,12.4,8,1,3.3,8,1
2010/3/17,10.2,8,1,-1.7,8,1
2010/3/18,9.5,8,1,-1.0,8,1
2010/3/19,13.8,8,1,0.9,8,1
2010/3/20,22.9,8,1,5.4,8,1
2010/3/21,15.2,8,1,0.3,8,1
2010/3/22,9.3,8,1,-2.0,8,1
2010/3/23,12.5,8,1,1.0,8,1
2010/3/24,5.7,8,1,0.7,8,1
2010/3/25,3.5,8,1,0.9,8,1
2010/3/26,5.3,8,1,-0.8,8,1
2010/3/27,10.4,8,1,-2.3,8,1
2010/3/28,10.5,8,1,-1.0,8,1
2010/3/29,3.2,8,1,-4.1,8,1
2010/3/30,6.7,8,1,-6.3,8,1
2010/3/31,12.3,8,1,-2.9,8,1
2010/4/1,15.9,8,1,8.7,8,1
2010/4/2,15.0,8,1,4.4,8,1
2010/4/3,11.8,8,1,-0.8,8,1
2010/4/4,17.9,8,1,-2.1,8,1
2010/4/5,16.2,8,1,4.1,8,1
2010/4/6,22.2,8,1,3.3,8,1
2010/4/7,14.0,8,1,1.0,8,1
2010/4/8,13.3,8,1,-1.4,8,1
2010/4/9,17.2,8,1,0.7,8,1
2010/4/10,22.7,8,1,4.8,8,1
2010/4/11,18.8,8,1,8.3,8,1
2010/4/12,9.0,8,1,4.9,8,1
2010/4/13,24.3,8,1,4.2,8,1
2010/4/14,14.0,8,1,2.5,8,1
2010/4/15,6.3,8,1,0.5,8,1
2010/4/16,7.0,8,1,0.1,8,1
2010/4/17,12.0,8,1,0.1,8,1
