ダウンロードした時刻：2020/12/23 22:06:32

,松本,松本,松本,松本,松本,松本
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2011/1/1,6.6,8,1,-4.3,8,1
2011/1/2,5.5,8,1,-2.5,8,1
2011/1/3,5.1,8,1,-4.7,8,1
2011/1/4,5.6,8,1,-3.7,8,1
2011/1/5,6.7,8,1,-7.0,8,1
2011/1/6,2.7,8,1,-5.5,8,1
2011/1/7,1.5,8,1,-8.2,8,1
2011/1/8,5.1,8,1,-10.2,8,1
2011/1/9,7.9,8,1,-2.7,8,1
2011/1/10,0.4,8,1,-8.1,8,1
2011/1/11,1.8,8,1,-9.1,8,1
2011/1/12,5.8,8,1,-5.4,8,1
2011/1/13,1.5,8,1,-7.0,8,1
2011/1/14,4.9,8,1,-9.4,8,1
2011/1/15,2.9,8,1,-2.2,8,1
2011/1/16,-2.2,8,1,-8.2,8,1
2011/1/17,2.0,8,1,-8.7,8,1
2011/1/18,5.3,8,1,-6.7,8,1
2011/1/19,6.7,8,1,-6.6,8,1
2011/1/20,4.0,8,1,-4.5,8,1
2011/1/21,3.0,8,1,-6.6,8,1
2011/1/22,5.6,8,1,-8.2,8,1
2011/1/23,4.3,8,1,-5.0,8,1
2011/1/24,6.4,8,1,-4.6,8,1
2011/1/25,4.9,8,1,-4.7,8,1
2011/1/26,4.5,8,1,-7.0,8,1
2011/1/27,4.7,8,1,-7.0,8,1
2011/1/28,2.7,8,1,-7.3,8,1
2011/1/29,3.6,8,1,-8.9,8,1
2011/1/30,-0.3,8,1,-7.3,8,1
2011/1/31,1.5,8,1,-9.9,8,1
2011/2/1,7.6,8,1,-9.4,8,1
2011/2/2,6.8,8,1,-7.4,8,1
2011/2/3,9.9,8,1,-7.7,8,1
2011/2/4,8.5,8,1,-3.5,8,1
2011/2/5,10.0,8,1,-5.6,8,1
2011/2/6,13.0,8,1,-5.6,8,1
2011/2/7,7.2,8,1,-1.6,8,1
2011/2/8,6.2,8,1,-3.6,8,1
2011/2/9,8.2,8,1,-2.2,8,1
2011/2/10,3.4,8,1,-4.1,8,1
2011/2/11,-1.7,8,1,-3.5,8,1
2011/2/12,0.3,8,1,-4.6,8,1
2011/2/13,3.4,8,1,-7.6,8,1
2011/2/14,1.9,8,1,-6.8,8,1
2011/2/15,3.9,8,1,-4.4,8,1
2011/2/16,9.4,8,1,-8.4,8,1
2011/2/17,10.8,8,1,2.9,8,1
2011/2/18,7.5,8,1,-2.6,8,1
2011/2/19,6.9,8,1,-4.7,8,1
2011/2/20,9.1,8,1,-4.2,8,1
2011/2/21,10.8,8,1,-2.2,8,1
2011/2/22,13.8,8,1,-5.0,8,1
2011/2/23,14.2,8,1,-3.3,8,1
2011/2/24,13.1,8,1,1.1,8,1
2011/2/25,16.5,8,1,-0.6,8,1
2011/2/26,7.9,8,1,-3.1,8,1
2011/2/27,14.5,8,1,-0.7,8,1
2011/2/28,5.5,8,1,2.7,8,1
2011/3/1,6.2,8,1,0.6,8,1
2011/3/2,4.1,8,1,-2.9,8,1
2011/3/3,2.8,8,1,-5.4,8,1
2011/3/4,3.6,8,1,-7.6,8,1
2011/3/5,8.2,8,1,-7.2,8,1
2011/3/6,12.7,8,1,-3.7,8,1
2011/3/7,3.5,8,1,-0.4,8,1
2011/3/8,7.7,8,1,-1.4,8,1
2011/3/9,6.6,8,1,-3.6,8,1
2011/3/10,5.4,8,1,-5.5,8,1
2011/3/11,6.1,8,1,-3.0,8,1
2011/3/12,11.1,8,1,-5.9,8,1
2011/3/13,17.3,8,1,-3.8,8,1
2011/3/14,18.5,8,1,0.7,8,1
2011/3/15,17.2,8,1,3.4,8,1
2011/3/16,4.7,8,1,-3.8,8,1
2011/3/17,1.4,8,1,-5.1,8,1
2011/3/18,7.7,8,1,-7.2,8,1
2011/3/19,15.6,8,1,0.1,8,1
2011/3/20,18.3,8,1,0.0,8,1
2011/3/21,14.2,8,1,4.2,8,1
2011/3/22,9.2,8,1,1.1,8,1
2011/3/23,5.2,8,1,-3.4,8,1
2011/3/24,8.4,8,1,-6.0,8,1
2011/3/25,9.9,8,1,-1.1,8,1
2011/3/26,4.7,8,1,-3.4,8,1
2011/3/27,7.7,8,1,-5.9,8,1
2011/3/28,10.8,8,1,-5.0,8,1
2011/3/29,13.6,8,1,-3.5,8,1
2011/3/30,14.9,8,1,-2.1,8,1
2011/3/31,7.1,8,1,-1.4,8,1
2011/4/1,18.4,8,1,-3.2,8,1
2011/4/2,14.9,8,1,0.5,8,1
2011/4/3,8.9,8,1,-1.1,8,1
2011/4/4,9.5,8,1,-2.5,8,1
2011/4/5,15.4,8,1,-5.2,8,1
2011/4/6,20.6,8,1,-2.3,8,1
2011/4/7,20.6,8,1,2.5,8,1
2011/4/8,17.3,8,1,10.5,8,1
2011/4/9,17.7,8,1,7.6,8,1
2011/4/10,18.3,8,1,4.8,8,1
2011/4/11,17.1,8,1,1.8,8,1
2011/4/12,12.2,8,1,0.0,8,1
2011/4/13,20.7,8,1,-2.0,8,1
2011/4/14,23.7,8,1,1.6,8,1
2011/4/15,23.6,8,1,6.0,8,1
2011/4/16,20.9,8,1,3.7,8,1
