ダウンロードした時刻：2020/12/23 22:04:21

,松本,松本,松本,松本,松本,松本
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2016/1/1,5.6,8,1,-3.0,8,1
2016/1/2,10.1,8,1,-4.7,8,1
2016/1/3,15.5,8,1,1.4,8,1
2016/1/4,15.9,8,1,-2.2,8,1
2016/1/5,12.5,8,1,-1.3,8,1
2016/1/6,6.9,8,1,0.5,8,1
2016/1/7,4.9,8,1,-1.9,8,1
2016/1/8,7.7,8,1,-4.8,8,1
2016/1/9,6.1,8,1,-2.4,8,1
2016/1/10,9.0,8,1,-3.6,8,1
2016/1/11,4.5,8,1,-3.1,8,1
2016/1/12,2.8,8,1,-4.5,8,1
2016/1/13,7.0,8,1,-7.5,8,1
2016/1/14,6.5,8,1,-0.2,8,1
2016/1/15,6.7,8,1,-3.3,8,1
2016/1/16,6.9,8,1,-6.3,8,1
2016/1/17,3.4,8,1,-5.9,8,1
2016/1/18,2.8,8,1,-1.6,8,1
2016/1/19,2.0,8,1,-4.5,8,1
2016/1/20,0.8,8,1,-5.7,8,1
2016/1/21,-0.9,8,1,-10.6,8,1
2016/1/22,1.9,8,1,-8.5,8,1
2016/1/23,2.0,8,1,-8.4,8,1
2016/1/24,-0.3,8,1,-7.9,8,1
2016/1/25,1.1,8,1,-8.9,8,1
2016/1/26,2.1,8,1,-12.0,8,1
2016/1/27,7.8,8,1,-8.2,8,1
2016/1/28,5.9,8,1,-8.2,8,1
2016/1/29,1.6,8,1,-0.4,8,1
2016/1/30,2.7,8,1,-0.7,8,1
2016/1/31,4.2,8,1,-4.7,8,1
2016/2/1,1.7,8,1,-2.3,8,1
2016/2/2,3.0,8,1,-3.8,8,1
2016/2/3,3.0,8,1,-7.2,8,1
2016/2/4,6.2,8,1,-8.4,8,1
2016/2/5,5.7,8,1,-5.8,8,1
2016/2/6,6.0,8,1,-5.2,8,1
2016/2/7,3.0,8,1,-5.8,8,1
2016/2/8,5.1,8,1,-8.4,8,1
2016/2/9,4.7,8,1,-1.8,8,1
2016/2/10,3.7,8,1,-4.7,8,1
2016/2/11,5.5,8,1,-7.9,8,1
2016/2/12,12.7,8,1,-5.8,8,1
2016/2/13,13.6,8,1,7.8,8,1
2016/2/14,20.1,8,1,7.0,8,1
2016/2/15,7.8,8,1,-3.3,8,1
2016/2/16,5.2,8,1,-4.8,8,1
2016/2/17,4.4,8,1,-3.0,8,1
2016/2/18,9.8,8,1,-5.7,8,1
2016/2/19,12.1,8,1,0.7,8,1
2016/2/20,6.4,8,1,0.9,8,1
2016/2/21,9.6,8,1,-1.2,8,1
2016/2/22,8.7,8,1,-2.6,8,1
2016/2/23,11.6,8,1,-0.9,8,1
2016/2/24,5.0,8,1,-2.5,8,1
2016/2/25,5.6,8,1,-5.2,8,1
2016/2/26,6.9,8,1,-5.0,8,1
2016/2/27,10.2,8,1,-5.1,8,1
2016/2/28,14.5,8,1,-0.5,8,1
2016/2/29,11.8,8,1,-1.9,8,1
2016/3/1,2.9,8,1,-4.6,8,1
2016/3/2,7.9,8,1,-7.2,8,1
2016/3/3,15.1,8,1,-0.4,8,1
2016/3/4,16.5,8,1,-2.4,8,1
2016/3/5,17.0,8,1,0.0,8,1
2016/3/6,18.1,8,1,10.1,8,1
2016/3/7,16.1,8,1,9.2,8,1
2016/3/8,22.5,8,1,5.0,8,1
2016/3/9,8.2,8,1,-0.2,8,1
2016/3/10,3.4,8,1,-0.9,8,1
2016/3/11,5.6,8,1,-1.2,8,1
2016/3/12,7.2,8,1,-2.0,8,1
2016/3/13,11.5,8,1,-2.1,8,1
2016/3/14,2.5,8,1,0.2,8,1
2016/3/15,6.1,8,1,-2.0,8,1
2016/3/16,13.6,8,1,-3.6,8,1
2016/3/17,18.7,8,1,0.4,8,1
2016/3/18,18.0,8,1,2.1,8,1
2016/3/19,17.4,8,1,8.2,8,1
2016/3/20,10.5,8,1,3.4,8,1
2016/3/21,9.7,8,1,-0.6,8,1
2016/3/22,17.3,8,1,-2.9,8,1
2016/3/23,9.4,8,1,1.0,8,1
2016/3/24,8.3,8,1,-0.8,8,1
2016/3/25,7.2,8,1,-2.9,8,1
2016/3/26,11.8,8,1,-0.2,8,1
2016/3/27,16.0,8,1,-2.0,8,1
2016/3/28,15.1,8,1,1.6,8,1
2016/3/29,19.0,8,1,0.3,8,1
2016/3/30,19.6,8,1,7.9,8,1
2016/3/31,18.7,8,1,2.0,8,1
2016/4/1,19.3,8,1,3.2,8,1
2016/4/2,21.8,8,1,5.3,8,1
2016/4/3,19.5,8,1,12.7,8,1
2016/4/4,19.2,8,1,7.9,8,1
2016/4/5,19.3,8,1,6.1,8,1
2016/4/6,20.5,8,1,2.5,8,1
2016/4/7,19.3,8,1,7.4,8,1
2016/4/8,15.8,8,1,7.0,8,1
2016/4/9,23.4,8,1,3.4,8,1
2016/4/10,19.9,8,1,8.3,8,1
2016/4/11,9.5,8,1,-0.3,8,1
2016/4/12,18.4,8,1,-2.2,8,1
2016/4/13,15.7,8,1,9.8,8,1
2016/4/14,22.8,8,1,9.4,8,1
2016/4/15,17.0,8,1,4.0,8,1
