ダウンロードした時刻：2020/12/23 22:04:02

,松本,松本,松本,松本,松本,松本
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2018/1/1,6.8,8,1,-2.2,8,1
2018/1/2,5.3,8,1,-2.8,8,1
2018/1/3,3.3,8,1,-5.4,8,1
2018/1/4,3.8,8,1,-8.0,8,1
2018/1/5,2.5,8,1,-5.5,8,1
2018/1/6,5.6,8,1,-8.0,8,1
2018/1/7,4.4,8,1,-6.6,8,1
2018/1/8,8.9,8,1,-4.4,8,1
2018/1/9,10.3,8,1,0.4,8,1
2018/1/10,4.6,8,1,-1.4,8,1
2018/1/11,1.5,8,1,-3.9,8,1
2018/1/12,1.5,8,1,-5.9,8,1
2018/1/13,3.7,8,1,-8.7,8,1
2018/1/14,2.7,8,1,-6.4,8,1
2018/1/15,9.6,8,1,-6.0,8,1
2018/1/16,13.5,8,1,-2.3,8,1
2018/1/17,10.1,8,1,5.3,8,1
2018/1/18,9.9,8,1,0.9,8,1
2018/1/19,5.5,8,1,-1.5,8,1
2018/1/20,8.7,8,1,-4.3,8,1
2018/1/21,8.6,8,1,-4.2,8,1
2018/1/22,-0.6,8,1,-3.4,8,1
2018/1/23,4.5,8,1,-8.1,8,1
2018/1/24,-0.2,8,1,-7.1,8,1
2018/1/25,-1.2,8,1,-9.3,8,1
2018/1/26,-0.7,8,1,-11.7,8,1
2018/1/27,2.2,8,1,-11.6,8,1
2018/1/28,3.9,8,1,-10.5,8,1
2018/1/29,6.1,8,1,-3.1,8,1
2018/1/30,2.4,8,1,-6.9,8,1
2018/1/31,6.3,8,1,-8.1,8,1
2018/2/1,0.4,8,1,-2.9,8,1
2018/2/2,1.7,8,1,-2.7,8,1
2018/2/3,8.1,8,1,-4.3,8,1
2018/2/4,3.2,8,1,-6.3,8,1
2018/2/5,1.3,8,1,-6.7,8,1
2018/2/6,1.0,8,1,-5.5,8,1
2018/2/7,2.3,8,1,-5.6,8,1
2018/2/8,2.4,8,1,-9.2,8,1
2018/2/9,4.6,8,1,-9.6,8,1
2018/2/10,11.1,8,1,-6.0,8,1
2018/2/11,8.1,8,1,-2.8,8,1
2018/2/12,0.4,8,1,-4.5,8,1
2018/2/13,2.8,8,1,-4.0,8,1
2018/2/14,9.2,8,1,-6.8,8,1
2018/2/15,7.6,8,1,-1.4,8,1
2018/2/16,5.9,8,1,-3.3,8,1
2018/2/17,5.7,8,1,-4.7,8,1
2018/2/18,3.3,8,1,-7.9,8,1
2018/2/19,6.1,8,1,-8.2,8,1
2018/2/20,8.7,8,1,-5.2,8,1
2018/2/21,5.9,8,1,-4.3,8,1
2018/2/22,7.7,8,1,-5.4,8,1
2018/2/23,8.7,8,1,-5.5,8,1
2018/2/24,10.9,8,1,-5.3,8,1
2018/2/25,5.1,8,1,-2.7,8,1
2018/2/26,9.8,8,1,-4.1,8,1
2018/2/27,12.9,8,1,-5.2,8,1
2018/2/28,10.0,8,1,-2.4,8,1
2018/3/1,12.1,8,1,0.2,8,1
2018/3/2,9.8,8,1,-2.0,8,1
2018/3/3,16.9,8,1,-4.3,8,1
2018/3/4,18.9,8,1,6.3,8,1
2018/3/5,14.8,8,1,2.3,8,1
2018/3/6,5.3,8,1,-1.4,8,1
2018/3/7,8.9,8,1,-2.0,8,1
2018/3/8,6.8,8,1,0.3,8,1
2018/3/9,6.4,8,1,-0.3,8,1
2018/3/10,5.4,8,1,-0.9,8,1
2018/3/11,12.9,8,1,-3.0,8,1
2018/3/12,11.0,8,1,-2.7,8,1
2018/3/13,19.8,8,1,-2.3,8,1
2018/3/14,21.9,8,1,4.4,8,1
2018/3/15,21.4,8,1,3.0,8,1
2018/3/16,13.2,8,1,-0.9,8,1
2018/3/17,10.4,8,1,-1.6,8,1
2018/3/18,17.1,8,1,-1.6,8,1
2018/3/19,10.6,8,1,5.5,8,1
2018/3/20,5.8,8,1,0.6,8,1
2018/3/21,1.3,8,1,0.0,8,1
2018/3/22,9.2,8,1,0.0,8,1
2018/3/23,11.6,8,1,0.8,8,1
2018/3/24,14.9,8,1,-0.1,8,1
2018/3/25,17.5,8,1,1.0,8,1
2018/3/26,22.3,8,1,0.5,8,1
2018/3/27,22.3,8,1,3.5,8,1
2018/3/28,23.6,8,1,3.4,8,1
2018/3/29,23.8,8,1,3.8,8,1
2018/3/30,13.9,8,1,1.6,8,1
2018/3/31,21.0,8,1,-0.8,8,1
2018/4/1,23.9,8,1,6.5,8,1
2018/4/2,24.2,8,1,10.1,8,1
2018/4/3,26.1,8,1,7.5,8,1
2018/4/4,25.1,8,1,6.1,8,1
2018/4/5,17.8,8,1,4.2,8,1
2018/4/6,21.3,8,1,12.4,8,1
2018/4/7,14.4,8,1,4.1,8,1
2018/4/8,9.3,8,1,2.7,8,1
2018/4/9,10.9,8,1,3.4,8,1
2018/4/10,20.3,8,1,0.1,8,1
2018/4/11,17.4,8,1,10.4,8,1
2018/4/12,20.8,8,1,7.8,8,1
2018/4/13,15.5,8,1,3.5,8,1
2018/4/14,17.5,8,1,2.7,8,1
2018/4/15,16.6,8,1,4.8,8,1
2018/4/16,15.2,8,1,3.5,8,1
