ダウンロードした時刻：2020/12/23 22:06:18

,松本,松本,松本,松本,松本,松本
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2012/1/1,8.5,8,1,-6.3,8,1
2012/1/2,5.0,8,1,-4.8,8,1
2012/1/3,3.8,8,1,-7.4,8,1
2012/1/4,3.6,8,1,-3.7,8,1
2012/1/5,3.1,8,1,-7.0,8,1
2012/1/6,3.9,8,1,-9.0,8,1
2012/1/7,4.0,8,1,-6.1,8,1
2012/1/8,3.2,8,1,-8.6,8,1
2012/1/9,7.7,8,1,-6.2,8,1
2012/1/10,6.3,8,1,-5.0,8,1
2012/1/11,4.3,8,1,-5.2,8,1
2012/1/12,1.4,8,1,-8.7,8,1
2012/1/13,8.0,8,1,-8.7,8,1
2012/1/14,2.7,8,1,-4.5,8,1
2012/1/15,3.8,8,1,-5.0,8,1
2012/1/16,1.2,8,1,-2.3,8,1
2012/1/17,3.8,8,1,-4.8,8,1
2012/1/18,7.3,8,1,-7.5,8,1
2012/1/19,6.6,8,1,-6.3,8,1
2012/1/20,1.3,8,1,-0.2,8,1
2012/1/21,1.4,8,1,-0.8,8,1
2012/1/22,4.9,8,1,-0.3,8,1
2012/1/23,3.8,8,1,-3.0,8,1
2012/1/24,1.0,8,1,-7.3,8,1
2012/1/25,3.3,8,1,-3.8,8,1
2012/1/26,-1.2,8,1,-5.5,8,1
2012/1/27,0.7,8,1,-5.6,8,1
2012/1/28,0.3,8,1,-6.4,8,1
2012/1/29,0.4,8,1,-8.1,8,1
2012/1/30,1.7,8,1,-10.1,8,1
2012/1/31,3.6,8,1,-8.0,8,1
2012/2/1,3.6,8,1,-4.7,8,1
2012/2/2,-2.7,8,1,-10.0,8,1
2012/2/3,2.2,8,1,-12.7,8,1
2012/2/4,5.1,8,1,-2.9,8,1
2012/2/5,3.7,8,1,-5.7,8,1
2012/2/6,9.9,8,1,-6.2,8,1
2012/2/7,5.5,8,1,0.6,8,1
2012/2/8,3.8,8,1,-2.6,8,1
2012/2/9,3.2,8,1,-4.0,8,1
2012/2/10,5.6,8,1,-6.4,8,1
2012/2/11,3.0,8,1,-4.3,8,1
2012/2/12,4.7,8,1,-5.0,8,1
2012/2/13,5.1,8,1,-5.4,8,1
2012/2/14,3.0,8,1,-0.1,8,1
2012/2/15,4.7,8,1,-2.7,8,1
2012/2/16,2.6,8,1,-4.0,8,1
2012/2/17,1.3,8,1,-3.6,8,1
2012/2/18,-1.3,8,1,-8.2,8,1
2012/2/19,3.5,8,1,-10.8,8,1
2012/2/20,7.0,8,1,-8.6,8,1
2012/2/21,9.9,8,1,-6.6,8,1
2012/2/22,10.3,8,1,-1.2,8,1
2012/2/23,15.7,8,1,2.3,8,1
2012/2/24,8.6,8,1,0.9,8,1
2012/2/25,2.8,8,1,-0.1,8,1
2012/2/26,2.1,8,1,-4.1,8,1
2012/2/27,2.7,8,1,-6.8,8,1
2012/2/28,3.7,8,1,-8.9,8,1
2012/2/29,3.7,8,1,-2.4,8,1
2012/3/1,9.7,8,1,0.2,8,1
2012/3/2,8.5,8,1,0.3,8,1
2012/3/3,7.3,8,1,0.6,8,1
2012/3/4,11.1,8,1,-0.9,8,1
2012/3/5,3.7,8,1,0.2,8,1
2012/3/6,18.6,8,1,2.5,8,1
2012/3/7,12.7,8,1,3.5,8,1
2012/3/8,11.8,8,1,1.0,8,1
2012/3/9,4.4,8,1,0.2,8,1
2012/3/10,5.3,8,1,0.2,8,1
2012/3/11,10.0,8,1,-0.9,8,1
2012/3/12,2.3,8,1,-2.3,8,1
2012/3/13,5.9,8,1,-6.0,8,1
2012/3/14,8.4,8,1,-6.2,8,1
2012/3/15,7.0,8,1,-2.1,8,1
2012/3/16,12.6,8,1,-4.4,8,1
2012/3/17,12.0,8,1,6.2,8,1
2012/3/18,8.5,8,1,5.6,8,1
2012/3/19,5.7,8,1,-3.3,8,1
2012/3/20,10.0,8,1,-5.0,8,1
2012/3/21,8.4,8,1,-3.1,8,1
2012/3/22,15.3,8,1,-4.2,8,1
2012/3/23,5.1,8,1,1.8,8,1
2012/3/24,12.2,8,1,0.1,8,1
2012/3/25,7.3,8,1,-1.4,8,1
2012/3/26,6.5,8,1,-3.3,8,1
2012/3/27,13.3,8,1,-4.3,8,1
2012/3/28,11.5,8,1,0.7,8,1
2012/3/29,16.7,8,1,-2.0,8,1
2012/3/30,20.0,8,1,7.8,8,1
2012/3/31,11.7,8,1,-0.1,8,1
2012/4/1,10.4,8,1,-2.3,8,1
2012/4/2,13.6,8,1,-2.4,8,1
2012/4/3,12.2,8,1,3.6,8,1
2012/4/4,8.8,8,1,0.5,8,1
2012/4/5,11.9,8,1,3.7,8,1
2012/4/6,8.1,8,1,-0.5,8,1
2012/4/7,5.0,8,1,-2.5,8,1
2012/4/8,13.8,8,1,-4.8,8,1
2012/4/9,15.8,8,1,6.3,8,1
2012/4/10,20.4,8,1,1.6,8,1
2012/4/11,12.8,8,1,7.9,8,1
2012/4/12,20.1,8,1,7.1,8,1
2012/4/13,17.9,8,1,7.3,8,1
2012/4/14,8.5,8,1,4.7,8,1
2012/4/15,18.0,8,1,4.5,8,1
