ダウンロードした時刻：2020/12/23 22:03:18

,松本,松本,松本,松本,松本,松本
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2019/1/1,7.0,8,1,-7.9,8,1
2019/1/2,4.4,8,1,-3.6,8,1
2019/1/3,4.3,8,1,-6.0,8,1
2019/1/4,5.0,8,1,-8.2,8,1
2019/1/5,10.4,8,1,-0.2,8,1
2019/1/6,1.3,8,1,-4.6,8,1
2019/1/7,4.9,8,1,-7.3,8,1
2019/1/8,8.8,8,1,-5.3,8,1
2019/1/9,2.4,8,1,-6.5,8,1
2019/1/10,1.5,8,1,-8.9,8,1
2019/1/11,5.3,8,1,-4.9,8,1
2019/1/12,4.6,8,1,-5.0,8,1
2019/1/13,6.8,8,1,-4.4,8,1
2019/1/14,7.4,8,1,-4.7,8,1
2019/1/15,8.3,8,1,-5.7,8,1
2019/1/16,6.8,8,1,-4.6,8,1
2019/1/17,8.3,8,1,-7.2,8,1
2019/1/18,4.6,8,1,-4.9,8,1
2019/1/19,6.6,8,1,-7.0,8,1
2019/1/20,9.3,8,1,-4.5,8,1
2019/1/21,4.8,8,1,-5.5,8,1
2019/1/22,3.4,8,1,-4.8,8,1
2019/1/23,6.4,8,1,-7.3,8,1
2019/1/24,4.3,8,1,-5.0,8,1
2019/1/25,3.9,8,1,-8.1,8,1
2019/1/26,2.7,8,1,-5.1,8,1
2019/1/27,3.8,8,1,-8.2,8,1
2019/1/28,5.9,8,1,-6.2,8,1
2019/1/29,4.0,8,1,-4.9,8,1
2019/1/30,8.0,8,1,-7.5,8,1
2019/1/31,6.5,8,1,-4.0,8,1
2019/2/1,2.0,8,1,-6.8,8,1
2019/2/2,9.3,8,1,-8.2,8,1
2019/2/3,10.9,8,1,-5.7,8,1
2019/2/4,13.4,8,1,-0.5,8,1
2019/2/5,7.8,8,1,-1.5,8,1
2019/2/6,7.9,8,1,-1.0,8,1
2019/2/7,14.3,8,1,-4.2,8,1
2019/2/8,1.3,8,1,-3.8,8,1
2019/2/9,-1.2,8,1,-5.0,8,1
2019/2/10,1.5,8,1,-6.5,8,1
2019/2/11,6.2,8,1,-5.4,8,1
2019/2/12,4.5,8,1,-4.2,8,1
2019/2/13,3.8,8,1,-5.1,8,1
2019/2/14,2.4,8,1,-6.2,8,1
2019/2/15,8.6,8,1,-7.4,8,1
2019/2/16,8.0,8,1,-2.4,8,1
2019/2/17,6.7,8,1,-6.0,8,1
2019/2/18,10.2,8,1,-7.3,8,1
2019/2/19,13.8,8,1,-0.7,8,1
2019/2/20,15.4,8,1,3.7,8,1
2019/2/21,9.1,8,1,-0.5,8,1
2019/2/22,11.3,8,1,-2.1,8,1
2019/2/23,7.9,8,1,-2.5,8,1
2019/2/24,15.1,8,1,-5.1,8,1
2019/2/25,17.4,8,1,2.0,8,1
2019/2/26,9.6,8,1,-0.8,8,1
2019/2/27,8.7,8,1,-3.0,8,1
2019/2/28,6.0,8,1,1.7,8,1
2019/3/1,11.2,8,1,1.6,8,1
2019/3/2,10.8,8,1,-2.2,8,1
2019/3/3,10.4,8,1,-0.9,8,1
2019/3/4,5.2,8,1,1.1,8,1
2019/3/5,11.1,8,1,-0.1,8,1
2019/3/6,13.8,8,1,2.1,8,1
2019/3/7,7.5,8,1,0.5,8,1
2019/3/8,7.2,8,1,-2.5,8,1
2019/3/9,15.0,8,1,-4.4,8,1
2019/3/10,14.6,8,1,3.1,8,1
2019/3/11,8.7,8,1,0.2,8,1
2019/3/12,12.8,8,1,-0.6,8,1
2019/3/13,10.0,8,1,-1.5,8,1
2019/3/14,7.3,8,1,-1.7,8,1
2019/3/15,11.8,8,1,-4.2,8,1
2019/3/16,8.9,8,1,-1.3,8,1
2019/3/17,8.5,8,1,-4.0,8,1
2019/3/18,14.5,8,1,-2.4,8,1
2019/3/19,14.0,8,1,3.6,8,1
2019/3/20,22.0,8,1,-0.5,8,1
2019/3/21,17.6,8,1,9.5,8,1
2019/3/22,17.4,8,1,1.5,8,1
2019/3/23,5.3,8,1,-2.9,8,1
2019/3/24,9.3,8,1,-3.2,8,1
2019/3/25,16.1,8,1,-3.8,8,1
2019/3/26,16.8,8,1,-0.1,8,1
2019/3/27,16.1,8,1,-0.2,8,1
2019/3/28,12.6,8,1,0.6,8,1
2019/3/29,11.4,8,1,-0.6,8,1
2019/3/30,13.2,8,1,0.9,8,1
2019/3/31,10.4,8,1,1.1,8,1
2019/4/1,8.8,8,1,-0.1,8,1
2019/4/2,5.9,8,1,-2.7,8,1
2019/4/3,8.7,8,1,-3.1,8,1
2019/4/4,14.8,8,1,-4.0,8,1
2019/4/5,20.2,8,1,7.4,8,1
2019/4/6,18.0,8,1,5.2,8,1
2019/4/7,17.0,8,1,4.3,8,1
2019/4/8,18.1,8,1,3.4,8,1
2019/4/9,12.3,8,1,0.2,8,1
2019/4/10,4.7,8,1,0.3,8,1
2019/4/11,9.0,8,1,1.6,8,1
2019/4/12,9.8,8,1,0.5,8,1
2019/4/13,16.7,8,1,-0.9,8,1
2019/4/14,15.7,8,1,8.3,8,1
2019/4/15,15.3,8,1,3.2,8,1
2019/4/16,21.1,8,1,-0.6,8,1
