ダウンロードした時刻：2020/12/23 22:04:29

,松本,松本,松本,松本,松本,松本
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2015/1/1,0.6,8,1,-5.7,8,1
2015/1/2,0.6,8,1,-9.4,8,1
2015/1/3,2.9,8,1,-5.8,8,1
2015/1/4,4.4,8,1,-7.4,8,1
2015/1/5,7.4,8,1,-1.4,8,1
2015/1/6,9.5,8,1,-0.7,8,1
2015/1/7,5.6,8,1,-4.7,8,1
2015/1/8,5.2,8,1,-6.6,8,1
2015/1/9,5.8,8,1,-6.8,8,1
2015/1/10,5.3,8,1,-5.5,8,1
2015/1/11,5.1,8,1,-5.7,8,1
2015/1/12,2.7,8,1,-6.0,8,1
2015/1/13,4.4,8,1,-6.3,8,1
2015/1/14,4.0,8,1,-6.8,8,1
2015/1/15,1.4,8,1,-0.6,8,1
2015/1/16,2.7,8,1,-3.1,8,1
2015/1/17,3.5,8,1,-5.1,8,1
2015/1/18,2.8,8,1,-9.3,8,1
2015/1/19,4.1,8,1,-6.4,8,1
2015/1/20,3.1,8,1,-3.3,8,1
2015/1/21,4.5,8,1,-6.4,8,1
2015/1/22,0.8,8,1,-2.4,8,1
2015/1/23,4.2,8,1,-5.5,8,1
2015/1/24,2.2,8,1,-8.5,8,1
2015/1/25,4.6,8,1,-6.6,8,1
2015/1/26,10.5,8,1,-3.8,8,1
2015/1/27,4.1,8,1,-0.5,8,1
2015/1/28,2.4,8,1,-6.3,8,1
2015/1/29,0.7,8,1,-8.9,8,1
2015/1/30,-0.4,8,1,-2.5,8,1
2015/1/31,1.9,8,1,-6.9,8,1
2015/2/1,2.3,8,1,-9.8,8,1
2015/2/2,2.8,8,1,-11.2,8,1
2015/2/3,4.2,8,1,-8.7,8,1
2015/2/4,4.4,8,1,-6.3,8,1
2015/2/5,3.2,8,1,-4.9,8,1
2015/2/6,6.9,8,1,-4.6,8,1
2015/2/7,8.4,8,1,-4.3,8,1
2015/2/8,5.4,8,1,-1.0,8,1
2015/2/9,2.0,8,1,-6.2,8,1
2015/2/10,4.7,8,1,-5.3,8,1
2015/2/11,8.3,8,1,-6.7,8,1
2015/2/12,7.8,8,1,-2.7,8,1
2015/2/13,2.7,8,1,-5.6,8,1
2015/2/14,4.7,8,1,-6.5,8,1
2015/2/15,5.5,8,1,-4.4,8,1
2015/2/16,6.9,8,1,-7.7,8,1
2015/2/17,6.6,8,1,-1.5,8,1
2015/2/18,5.3,8,1,-0.4,8,1
2015/2/19,8.8,8,1,-0.1,8,1
2015/2/20,7.2,8,1,-2.3,8,1
2015/2/21,12.5,8,1,-5.1,8,1
2015/2/22,12.4,8,1,5.3,8,1
2015/2/23,12.0,8,1,3.1,8,1
2015/2/24,8.3,8,1,-0.1,8,1
2015/2/25,9.7,8,1,-0.9,8,1
2015/2/26,8.6,8,1,-0.2,8,1
2015/2/27,7.1,8,1,-1.7,8,1
2015/2/28,7.4,8,1,-3.6,8,1
2015/3/1,7.3,8,1,0.2,8,1
2015/3/2,6.6,8,1,-1.6,8,1
2015/3/3,7.6,8,1,-2.7,8,1
2015/3/4,12.6,8,1,0.4,8,1
2015/3/5,7.7,8,1,-1.8,8,1
2015/3/6,9.8,8,1,-3.0,8,1
2015/3/7,9.9,8,1,0.1,8,1
2015/3/8,8.2,8,1,1.0,8,1
2015/3/9,10.2,8,1,1.9,8,1
2015/3/10,6.9,8,1,-4.1,8,1
2015/3/11,4.8,8,1,-3.4,8,1
2015/3/12,7.1,8,1,-0.8,8,1
2015/3/13,7.5,8,1,-1.3,8,1
2015/3/14,9.3,8,1,-1.6,8,1
2015/3/15,14.8,8,1,-4.0,8,1
2015/3/16,17.1,8,1,2.6,8,1
2015/3/17,23.8,8,1,0.9,8,1
2015/3/18,19.4,8,1,3.1,8,1
2015/3/19,14.9,8,1,8.8,8,1
2015/3/20,13.6,8,1,5.8,8,1
2015/3/21,16.3,8,1,2.2,8,1
2015/3/22,17.6,8,1,2.0,8,1
2015/3/23,8.2,8,1,-0.1,8,1
2015/3/24,7.8,8,1,-2.9,8,1
2015/3/25,8.6,8,1,-3.4,8,1
2015/3/26,12.0,8,1,-3.4,8,1
2015/3/27,19.5,8,1,-2.9,8,1
2015/3/28,20.8,8,1,0.5,8,1
2015/3/29,17.9,8,1,4.1,8,1
2015/3/30,21.4,8,1,2.2,8,1
2015/3/31,24.9,8,1,2.5,8,1
2015/4/1,19.9,8,1,5.9,8,1
2015/4/2,22.5,8,1,2.9,8,1
2015/4/3,19.2,8,1,11.5,8,1
2015/4/4,20.0,8,1,9.3,8,1
2015/4/5,18.6,8,1,9.3,8,1
2015/4/6,15.7,8,1,7.6,8,1
2015/4/7,7.6,8,1,2.5,8,1
2015/4/8,5.1,8,1,0.6,8,1
2015/4/9,14.1,8,1,1.8,8,1
2015/4/10,10.8,8,1,2.8,8,1
2015/4/11,12.3,8,1,3.8,8,1
2015/4/12,17.2,8,1,1.1,8,1
2015/4/13,8.0,8,1,3.8,8,1
2015/4/14,12.2,8,1,5.0,8,1
2015/4/15,14.7,8,1,5.6,8,1
2015/4/16,22.8,8,1,8.2,8,1
2015/4/17,18.6,8,1,3.2,8,1
