ダウンロードした時刻：2020/12/19 12:09:30

,那覇,那覇,那覇,那覇,那覇,那覇
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2018/1/1,19.6,8,1,14.4,8,1
2018/1/2,20.7,8,1,14.0,8,1
2018/1/3,21.1,8,1,13.7,8,1
2018/1/4,22.2,8,1,16.6,8,1
2018/1/5,22.3,8,1,17.7,8,1
2018/1/6,19.0,8,1,16.4,8,1
2018/1/7,19.9,8,1,15.3,8,1
2018/1/8,24.1,8,1,18.3,8,1
2018/1/9,18.4,8,1,13.8,8,1
2018/1/10,15.2,8,1,13.7,8,1
2018/1/11,14.9,8,1,12.4,8,1
2018/1/12,14.0,8,1,9.7,8,1
2018/1/13,16.2,8,1,9.3,8,1
2018/1/14,19.6,8,1,13.2,8,1
2018/1/15,22.1,8,1,15.0,8,1
2018/1/16,23.4,8,1,18.8,8,1
2018/1/17,21.5,8,1,18.6,8,1
2018/1/18,22.8,8,1,18.9,8,1
2018/1/19,20.5,8,1,16.1,8,1
2018/1/20,21.5,8,1,16.1,8,1
2018/1/21,22.4,8,1,17.8,8,1
2018/1/22,20.3,8,1,17.3,8,1
2018/1/23,20.0,8,1,16.5,8,1
2018/1/24,18.6,8,1,15.0,8,1
2018/1/25,18.7,8,1,14.5,8,1
2018/1/26,15.5,8,1,12.8,8,1
2018/1/27,17.0,8,1,13.5,8,1
2018/1/28,22.0,8,1,14.1,8,1
2018/1/29,16.8,8,1,13.8,8,1
2018/1/30,17.6,8,1,13.9,8,1
2018/1/31,20.4,8,1,14.3,8,1
2018/2/1,20.4,8,1,15.4,8,1
2018/2/2,19.1,8,1,13.7,8,1
2018/2/3,15.1,8,1,12.9,8,1
2018/2/4,13.4,8,1,11.2,8,1
2018/2/5,12.2,8,1,10.6,8,1
2018/2/6,14.0,8,1,11.0,8,1
2018/2/7,15.1,8,1,10.3,8,1
2018/2/8,16.1,8,1,12.5,8,1
2018/2/9,20.8,8,1,13.6,8,1
2018/2/10,24.3,8,1,17.0,8,1
2018/2/11,17.7,8,1,12.9,8,1
2018/2/12,14.7,8,1,11.9,8,1
2018/2/13,15.1,8,1,11.3,8,1
2018/2/14,20.1,8,1,9.6,8,1
2018/2/15,24.4,8,1,14.3,8,1
2018/2/16,24.7,8,1,17.3,8,1
2018/2/17,20.5,8,1,16.0,8,1
2018/2/18,21.2,8,1,13.3,8,1
2018/2/19,23.7,8,1,15.5,8,1
2018/2/20,24.1,8,1,20.0,8,1
2018/2/21,21.4,8,1,17.6,8,1
2018/2/22,19.0,8,1,15.7,8,1
2018/2/23,19.4,8,1,15.5,8,1
2018/2/24,21.9,8,1,17.3,8,1
2018/2/25,23.4,8,1,19.4,8,1
2018/2/26,20.9,8,1,16.6,8,1
2018/2/27,21.7,8,1,14.0,8,1
2018/2/28,23.4,8,1,17.7,8,1
2018/3/1,20.4,8,1,15.7,8,1
2018/3/2,21.8,8,1,14.5,8,1
2018/3/3,22.5,8,1,19.6,8,1
2018/3/4,27.4,8,1,20.5,8,1
2018/3/5,25.4,8,1,19.0,8,1
2018/3/6,20.9,8,1,17.9,8,1
2018/3/7,23.8,8,1,17.9,8,1
2018/3/8,20.5,8,1,14.6,8,1
2018/3/9,17.1,8,1,14.7,8,1
2018/3/10,20.0,8,1,15.3,8,1
2018/3/11,21.2,8,1,13.7,8,1
2018/3/12,21.2,8,1,16.1,8,1
2018/3/13,24.1,8,1,17.3,8,1
2018/3/14,24.8,8,1,17.5,8,1
2018/3/15,24.4,8,1,19.5,8,1
2018/3/16,22.1,8,1,18.8,8,1
2018/3/17,24.6,8,1,18.8,8,1
2018/3/18,24.6,8,1,19.3,8,1
2018/3/19,25.1,8,1,18.3,8,1
2018/3/20,25.8,8,1,20.1,8,1
2018/3/21,20.2,8,1,15.8,8,1
2018/3/22,18.1,8,1,14.6,8,1
2018/3/23,18.6,8,1,14.8,8,1
2018/3/24,21.7,8,1,12.8,8,1
2018/3/25,23.0,8,1,16.4,8,1
2018/3/26,23.2,8,1,17.3,8,1
2018/3/27,24.4,8,1,16.4,8,1
2018/3/28,25.5,8,1,18.8,8,1
2018/3/29,25.4,8,1,20.6,8,1
2018/3/30,25.5,8,1,19.8,8,1
2018/3/31,24.6,8,1,20.4,8,1
2018/4/1,25.3,8,1,20.2,8,1
2018/4/2,25.4,8,1,19.7,8,1
2018/4/3,25.5,8,1,20.1,8,1
2018/4/4,26.7,8,1,20.0,8,1
2018/4/5,26.7,8,1,20.6,8,1
2018/4/6,26.3,8,1,17.8,8,1
2018/4/7,18.7,8,1,15.0,8,1
2018/4/8,19.0,8,1,14.6,8,1
2018/4/9,22.8,8,1,13.2,8,1
2018/4/10,25.5,8,1,18.1,8,1
2018/4/11,26.5,8,1,21.4,8,1
2018/4/12,28.1,8,1,20.0,8,1
2018/4/13,27.9,8,1,20.2,8,1
2018/4/14,27.5,8,1,23.0,8,1
2018/4/15,24.3,8,1,16.4,8,1
2018/4/16,21.7,8,1,16.8,8,1
2018/4/17,19.2,8,1,16.9,8,1
2018/4/18,23.3,8,1,17.6,8,1
2018/4/19,26.3,8,1,18.5,8,1
