ダウンロードした時刻：2020/12/19 12:08:52

,那覇,那覇,那覇,那覇,那覇,那覇
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2014/1/1,19.0,8,1,11.4,8,1
2014/1/2,20.2,8,1,10.6,8,1
2014/1/3,23.5,8,1,17.0,8,1
2014/1/4,21.2,8,1,17.9,8,1
2014/1/5,18.5,8,1,14.3,8,1
2014/1/6,19.4,8,1,12.4,8,1
2014/1/7,21.6,8,1,14.5,8,1
2014/1/8,23.5,8,1,16.4,8,1
2014/1/9,18.2,8,1,13.7,8,1
2014/1/10,16.7,8,1,13.1,8,1
2014/1/11,19.3,8,1,13.1,8,1
2014/1/12,22.0,8,1,13.9,8,1
2014/1/13,20.0,8,1,14.5,8,1
2014/1/14,18.5,8,1,15.1,8,1
2014/1/15,17.2,8,1,14.0,8,1
2014/1/16,17.3,8,1,13.5,8,1
2014/1/17,19.4,8,1,13.8,8,1
2014/1/18,17.8,8,1,14.7,8,1
2014/1/19,18.1,8,1,13.8,8,1
2014/1/20,18.8,8,1,13.0,8,1
2014/1/21,16.6,8,1,11.7,8,1
2014/1/22,15.8,8,1,11.9,8,1
2014/1/23,18.8,8,1,12.1,8,1
2014/1/24,20.5,8,1,11.2,8,1
2014/1/25,23.3,8,1,15.9,8,1
2014/1/26,21.7,8,1,14.4,8,1
2014/1/27,18.7,8,1,15.3,8,1
2014/1/28,20.7,8,1,16.5,8,1
2014/1/29,21.6,8,1,16.4,8,1
2014/1/30,23.0,8,1,15.2,8,1
2014/1/31,23.3,8,1,16.5,8,1
2014/2/1,24.1,8,1,18.9,8,1
2014/2/2,23.3,8,1,19.9,8,1
2014/2/3,23.9,8,1,19.8,8,1
2014/2/4,20.1,8,1,14.9,8,1
2014/2/5,18.2,8,1,14.2,8,1
2014/2/6,21.2,8,1,17.3,8,1
2014/2/7,23.3,8,1,19.3,8,1
2014/2/8,20.8,8,1,16.9,8,1
2014/2/9,17.6,8,1,15.1,8,1
2014/2/10,16.2,8,1,13.7,8,1
2014/2/11,18.8,8,1,14.3,8,1
2014/2/12,17.3,8,1,14.5,8,1
2014/2/13,18.8,8,1,15.4,8,1
2014/2/14,18.4,8,1,15.5,8,1
2014/2/15,18.1,8,1,14.0,8,1
2014/2/16,19.4,8,1,13.6,8,1
2014/2/17,22.1,8,1,16.6,8,1
2014/2/18,23.1,8,1,18.6,8,1
2014/2/19,19.2,8,1,15.3,8,1
2014/2/20,17.0,8,1,13.7,8,1
2014/2/21,18.4,8,1,12.5,8,1
2014/2/22,20.0,8,1,11.7,8,1
2014/2/23,20.7,8,1,12.7,8,1
2014/2/24,21.2,8,1,15.3,8,1
2014/2/25,22.6,8,1,17.0,8,1
2014/2/26,23.2,8,1,18.5,8,1
2014/2/27,20.6,8,1,16.5,8,1
2014/2/28,22.9,8,1,14.0,8,1
2014/3/1,24.7,8,1,17.2,8,1
2014/3/2,21.9,8,1,17.3,8,1
2014/3/3,19.1,8,1,16.2,8,1
2014/3/4,21.3,8,1,17.9,8,1
2014/3/5,19.7,8,1,16.0,8,1
2014/3/6,19.2,8,1,14.6,8,1
2014/3/7,16.4,8,1,14.7,8,1
2014/3/8,19.9,8,1,14.1,8,1
2014/3/9,19.3,8,1,14.8,8,1
2014/3/10,17.5,8,1,13.7,8,1
2014/3/11,19.4,8,1,12.5,8,1
2014/3/12,21.2,8,1,16.8,8,1
2014/3/13,21.4,8,1,14.8,8,1
2014/3/14,15.9,8,1,13.6,8,1
2014/3/15,18.4,8,1,12.0,8,1
2014/3/16,20.8,8,1,12.1,8,1
2014/3/17,21.5,8,1,15.5,8,1
2014/3/18,24.7,8,1,19.0,8,1
2014/3/19,24.9,8,1,19.5,8,1
2014/3/20,23.7,8,1,16.1,8,1
2014/3/21,17.2,8,1,14.1,8,1
2014/3/22,19.1,8,1,12.9,8,1
2014/3/23,20.8,8,1,14.7,8,1
2014/3/24,22.2,8,1,15.8,8,1
2014/3/25,23.0,8,1,17.9,8,1
2014/3/26,25.6,8,1,19.7,8,1
2014/3/27,24.1,8,1,20.4,8,1
2014/3/28,23.6,8,1,19.9,8,1
2014/3/29,26.1,8,1,20.4,8,1
2014/3/30,23.4,8,1,17.7,8,1
2014/3/31,21.9,8,1,15.3,8,1
2014/4/1,19.9,8,1,17.1,8,1
2014/4/2,23.4,8,1,18.6,8,1
2014/4/3,22.9,8,1,17.5,8,1
2014/4/4,19.8,8,1,15.3,8,1
2014/4/5,20.1,8,1,14.0,8,1
2014/4/6,19.5,8,1,15.5,8,1
2014/4/7,20.0,8,1,15.4,8,1
2014/4/8,23.4,8,1,16.7,8,1
2014/4/9,22.8,8,1,17.9,8,1
2014/4/10,24.1,8,1,19.5,8,1
2014/4/11,25.5,8,1,17.9,8,1
2014/4/12,25.5,8,1,18.5,8,1
2014/4/13,26.1,8,1,20.7,8,1
2014/4/14,23.5,8,1,19.7,8,1
2014/4/15,23.4,8,1,18.0,8,1
2014/4/16,23.5,8,1,19.3,8,1
2014/4/17,25.1,8,1,19.7,8,1
2014/4/18,26.4,8,1,20.7,8,1
2014/4/19,26.5,8,1,21.0,8,1
