ダウンロードした時刻：2020/12/19 12:07:54

,那覇,那覇,那覇,那覇,那覇,那覇
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2010/1/1,17.0,8,1,13.1,8,1
2010/1/2,19.7,8,1,12.6,8,1
2010/1/3,19.3,8,1,14.6,8,1
2010/1/4,20.9,8,1,11.3,8,1
2010/1/5,17.7,8,1,13.5,8,1
2010/1/6,15.6,8,1,12.9,8,1
2010/1/7,17.1,8,1,13.2,8,1
2010/1/8,16.5,8,1,12.1,8,1
2010/1/9,20.3,8,1,11.6,8,1
2010/1/10,20.6,8,1,15.3,8,1
2010/1/11,22.5,8,1,15.4,8,1
2010/1/12,18.8,8,1,13.5,8,1
2010/1/13,13.9,8,1,11.1,8,1
2010/1/14,14.3,8,1,10.6,8,1
2010/1/15,17.2,8,1,9.1,8,1
2010/1/16,19.3,8,1,10.5,8,1
2010/1/17,20.0,8,1,13.2,8,1
2010/1/18,21.4,8,1,14.3,8,1
2010/1/19,22.2,8,1,15.6,8,1
2010/1/20,24.0,8,1,19.1,8,1
2010/1/21,23.9,8,1,17.0,8,1
2010/1/22,18.1,8,1,16.3,8,1
2010/1/23,16.4,8,1,14.7,8,1
2010/1/24,19.7,8,1,14.5,8,1
2010/1/25,20.8,8,1,14.2,8,1
2010/1/26,18.5,8,1,14.8,8,1
2010/1/27,22.1,5,1,13.5,5,1
2010/1/28,24.1,8,1,16.1,8,1
2010/1/29,21.2,8,1,15.4,8,1
2010/1/30,22.0,8,1,17.4,8,1
2010/1/31,24.4,8,1,19.5,8,1
2010/2/1,24.5,8,1,17.3,8,1
2010/2/2,19.7,8,1,16.0,8,1
2010/2/3,18.1,8,1,15.0,8,1
2010/2/4,17.8,8,1,14.4,8,1
2010/2/5,16.8,8,1,14.0,8,1
2010/2/6,16.9,8,1,14.4,8,1
2010/2/7,20.5,8,1,15.6,8,1
2010/2/8,24.2,8,1,18.2,8,1
2010/2/9,25.0,8,1,18.3,8,1
2010/2/10,25.0,8,1,21.4,8,1
2010/2/11,26.1,8,1,18.3,8,1
2010/2/12,18.4,8,1,15.3,8,1
2010/2/13,16.3,8,1,14.7,8,1
2010/2/14,21.4,8,1,15.2,8,1
2010/2/15,21.5,8,1,17.3,8,1
2010/2/16,17.5,8,1,13.4,8,1
2010/2/17,16.2,8,1,12.6,8,1
2010/2/18,14.8,8,1,12.0,8,1
2010/2/19,14.5,8,1,12.8,8,1
2010/2/20,19.0,8,1,12.0,8,1
2010/2/21,21.6,8,1,12.2,8,1
2010/2/22,21.5,8,1,15.9,8,1
2010/2/23,23.1,8,1,15.7,8,1
2010/2/24,24.2,8,1,14.9,8,1
2010/2/25,25.6,8,1,19.9,8,1
2010/2/26,25.3,8,1,20.6,8,1
2010/2/27,25.4,8,1,20.6,8,1
2010/2/28,22.7,8,1,18.9,8,1
2010/3/1,26.0,8,1,19.3,8,1
2010/3/2,25.8,8,1,20.1,8,1
2010/3/3,25.0,8,1,18.9,8,1
2010/3/4,26.3,8,1,20.7,8,1
2010/3/5,27.3,8,1,22.9,8,1
2010/3/6,27.3,8,1,23.1,8,1
2010/3/7,23.8,8,1,19.1,8,1
2010/3/8,19.9,8,1,18.3,8,1
2010/3/9,22.1,8,1,13.7,8,1
2010/3/10,14.4,8,1,9.7,8,1
2010/3/11,17.0,8,1,11.6,8,1
2010/3/12,22.5,8,1,10.6,8,1
2010/3/13,24.0,8,1,15.8,8,1
2010/3/14,23.2,8,1,20.3,8,1
2010/3/15,25.7,8,1,20.1,8,1
2010/3/16,20.1,8,1,15.8,8,1
2010/3/17,20.9,8,1,15.9,8,1
2010/3/18,23.2,8,1,18.0,8,1
2010/3/19,24.4,8,1,15.5,8,1
2010/3/20,26.6,8,1,20.5,8,1
2010/3/21,23.2,8,1,17.2,8,1
2010/3/22,24.6,8,1,16.2,8,1
2010/3/23,26.7,8,1,20.8,8,1
2010/3/24,27.2,8,1,22.7,8,1
2010/3/25,24.4,8,1,15.8,8,1
2010/3/26,18.3,8,1,14.8,8,1
2010/3/27,20.0,8,1,13.4,8,1
2010/3/28,21.7,8,1,16.3,8,1
2010/3/29,21.1,8,1,15.2,8,1
2010/3/30,22.4,8,1,15.5,8,1
2010/3/31,23.4,8,1,18.5,8,1
2010/4/1,26.1,8,1,20.0,8,1
2010/4/2,23.1,8,1,16.5,8,1
2010/4/3,20.5,8,1,15.1,8,1
2010/4/4,22.9,8,1,19.0,8,1
2010/4/5,23.6,8,1,20.4,8,1
2010/4/6,23.5,8,1,19.5,8,1
2010/4/7,21.6,8,1,18.3,8,1
2010/4/8,22.2,8,1,17.1,8,1
2010/4/9,24.8,8,1,18.8,8,1
2010/4/10,24.7,8,1,19.4,8,1
2010/4/11,26.7,8,1,18.3,8,1
2010/4/12,27.4,8,1,22.5,8,1
2010/4/13,23.8,8,1,18.7,8,1
2010/4/14,21.2,8,1,18.1,8,1
2010/4/15,23.3,8,1,16.6,8,1
2010/4/16,20.8,8,1,17.6,8,1
2010/4/17,22.6,8,1,16.7,8,1
2010/4/18,24.1,8,1,19.6,8,1
2010/4/19,25.9,8,1,22.1,8,1
