ダウンロードした時刻：2020/12/19 12:08:48

,那覇,那覇,那覇,那覇,那覇,那覇
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2013/1/1,17.6,8,1,11.9,8,1
2013/1/2,22.8,8,1,13.4,8,1
2013/1/3,19.4,8,1,13.9,8,1
2013/1/4,15.4,8,1,12.8,8,1
2013/1/5,17.5,8,1,14.4,8,1
2013/1/6,19.2,8,1,15.6,8,1
2013/1/7,23.7,8,1,16.9,8,1
2013/1/8,22.4,8,1,16.8,8,1
2013/1/9,17.9,8,1,15.4,8,1
2013/1/10,16.8,8,1,14.9,8,1
2013/1/11,18.7,8,1,14.4,8,1
2013/1/12,20.9,8,1,15.8,8,1
2013/1/13,22.6,8,1,18.6,8,1
2013/1/14,19.6,8,1,15.4,8,1
2013/1/15,19.8,8,1,13.3,8,1
2013/1/16,20.8,8,1,12.7,8,1
2013/1/17,17.8,8,1,12.2,8,1
2013/1/18,16.4,8,1,10.7,8,1
2013/1/19,20.3,8,1,12.7,8,1
2013/1/20,21.7,8,1,15.2,8,1
2013/1/21,23.8,8,1,17.1,8,1
2013/1/22,23.6,8,1,17.7,8,1
2013/1/23,18.2,8,1,14.9,8,1
2013/1/24,18.8,8,1,12.4,8,1
2013/1/25,17.7,8,1,13.3,8,1
2013/1/26,17.9,8,1,11.5,8,1
2013/1/27,17.1,8,1,13.4,8,1
2013/1/28,16.9,8,1,12.2,8,1
2013/1/29,21.0,8,1,11.7,8,1
2013/1/30,20.7,8,1,15.2,8,1
2013/1/31,22.7,8,1,17.9,8,1
2013/2/1,24.0,8,1,18.8,8,1
2013/2/2,25.2,8,1,18.6,8,1
2013/2/3,23.9,8,1,17.9,8,1
2013/2/4,25.0,8,1,21.2,8,1
2013/2/5,24.7,8,1,20.8,8,1
2013/2/6,22.4,8,1,17.7,8,1
2013/2/7,20.2,8,1,15.0,8,1
2013/2/8,15.7,8,1,12.2,8,1
2013/2/9,17.6,8,1,12.2,8,1
2013/2/10,18.2,8,1,15.0,8,1
2013/2/11,18.5,8,1,15.9,8,1
2013/2/12,23.5,8,1,17.4,8,1
2013/2/13,18.5,8,1,15.4,8,1
2013/2/14,21.6,8,1,15.1,8,1
2013/2/15,23.0,8,1,15.3,8,1
2013/2/16,19.1,8,1,14.4,8,1
2013/2/17,21.8,8,1,13.4,8,1
2013/2/18,24.3,8,1,18.7,8,1
2013/2/19,22.5,8,1,16.8,8,1
2013/2/20,18.4,8,1,15.5,8,1
2013/2/21,20.5,8,1,15.8,8,1
2013/2/22,21.9,8,1,14.8,8,1
2013/2/23,19.7,8,1,14.8,8,1
2013/2/24,19.7,8,1,13.1,8,1
2013/2/25,21.0,8,1,13.4,8,1
2013/2/26,23.2,8,1,16.8,8,1
2013/2/27,21.7,8,1,18.5,8,1
2013/2/28,23.1,8,1,18.3,8,1
2013/3/1,25.1,8,1,17.9,8,1
2013/3/2,20.0,8,1,15.9,8,1
2013/3/3,18.3,8,1,15.5,8,1
2013/3/4,18.7,8,1,15.3,8,1
2013/3/5,20.2,8,1,14.0,8,1
2013/3/6,21.2,8,1,15.4,8,1
2013/3/7,23.3,8,1,15.6,8,1
2013/3/8,24.7,8,1,17.0,8,1
2013/3/9,25.3,8,1,17.6,8,1
2013/3/10,26.2,8,1,20.2,8,1
2013/3/11,23.2,8,1,19.2,8,1
2013/3/12,25.0,8,1,18.0,8,1
2013/3/13,26.3,8,1,20.1,8,1
2013/3/14,21.7,8,1,17.1,8,1
2013/3/15,21.8,8,1,15.9,8,1
2013/3/16,22.9,8,1,17.6,8,1
2013/3/17,24.0,8,1,18.3,8,1
2013/3/18,24.4,8,1,20.9,8,1
2013/3/19,25.0,8,1,19.5,8,1
2013/3/20,24.6,8,1,20.5,8,1
2013/3/21,20.6,8,1,18.5,8,1
2013/3/22,25.7,8,1,18.7,8,1
2013/3/23,27.8,8,1,21.2,8,1
2013/3/24,24.9,8,1,21.0,8,1
2013/3/25,22.0,8,1,16.3,8,1
2013/3/26,21.8,8,1,14.9,8,1
2013/3/27,25.6,8,1,20.2,8,1
2013/3/28,22.5,8,1,18.8,8,1
2013/3/29,21.1,8,1,18.0,8,1
2013/3/30,24.0,8,1,19.1,8,1
2013/3/31,21.9,8,1,18.5,8,1
2013/4/1,23.4,8,1,19.0,8,1
2013/4/2,25.8,8,1,18.7,8,1
2013/4/3,20.0,8,1,16.9,8,1
2013/4/4,23.2,8,1,16.2,8,1
2013/4/5,23.9,8,1,21.1,8,1
2013/4/6,24.4,8,1,15.4,8,1
2013/4/7,16.7,8,1,14.0,8,1
2013/4/8,20.8,8,1,14.5,8,1
2013/4/9,23.3,8,1,15.7,8,1
2013/4/10,18.5,8,1,15.3,8,1
2013/4/11,20.9,8,1,15.5,8,1
2013/4/12,18.4,8,1,14.5,8,1
2013/4/13,23.4,8,1,13.1,8,1
2013/4/14,20.1,8,1,16.0,8,1
2013/4/15,23.9,8,1,16.7,8,1
2013/4/16,25.3,8,1,19.5,8,1
2013/4/17,25.5,8,1,20.9,8,1
2013/4/18,26.8,8,1,21.4,8,1
2013/4/19,24.7,8,1,21.0,8,1
