ダウンロードした時刻：2020/12/19 12:08:38

,那覇,那覇,那覇,那覇,那覇,那覇
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2011/1/1,13.4,8,1,11.4,8,1
2011/1/2,15.2,8,1,12.4,8,1
2011/1/3,16.6,8,1,12.4,8,1
2011/1/4,15.5,8,1,14.1,8,1
2011/1/5,19.1,8,1,10.3,8,1
2011/1/6,17.5,8,1,13.6,8,1
2011/1/7,16.3,8,1,13.4,8,1
2011/1/8,19.1,8,1,13.4,8,1
2011/1/9,18.2,8,1,13.4,8,1
2011/1/10,15.3,8,1,13.2,8,1
2011/1/11,14.9,8,1,12.4,8,1
2011/1/12,14.0,8,1,11.6,8,1
2011/1/13,18.4,5,1,12.9,5,1
2011/1/14,20.6,8,1,14.6,8,1
2011/1/15,19.2,8,1,11.0,8,1
2011/1/16,12.3,8,1,9.3,8,1
2011/1/17,14.8,8,1,9.8,8,1
2011/1/18,18.7,8,1,11.4,8,1
2011/1/19,21.4,8,1,13.8,8,1
2011/1/20,22.6,8,1,13.9,8,1
2011/1/21,19.0,8,1,16.0,8,1
2011/1/22,19.1,8,1,14.5,8,1
2011/1/23,20.6,8,1,14.1,8,1
2011/1/24,16.2,8,1,13.5,8,1
2011/1/25,16.1,8,1,12.5,8,1
2011/1/26,16.0,8,1,13.3,8,1
2011/1/27,16.0,8,1,13.2,8,1
2011/1/28,17.7,8,1,14.7,8,1
2011/1/29,16.5,8,1,13.3,8,1
2011/1/30,14.4,8,1,11.3,8,1
2011/1/31,12.9,8,1,9.9,8,1
2011/2/1,16.7,8,1,8.7,8,1
2011/2/2,17.2,8,1,11.8,8,1
2011/2/3,20.3,8,1,14.1,8,1
2011/2/4,22.7,8,1,17.5,8,1
2011/2/5,20.4,8,1,16.7,8,1
2011/2/6,20.4,8,1,14.5,8,1
2011/2/7,21.4,8,1,14.0,8,1
2011/2/8,22.3,8,1,16.4,8,1
2011/2/9,22.4,8,1,15.5,8,1
2011/2/10,21.6,8,1,16.4,8,1
2011/2/11,19.9,8,1,14.1,8,1
2011/2/12,14.3,8,1,12.2,8,1
2011/2/13,18.3,8,1,12.3,8,1
2011/2/14,18.7,8,1,11.4,8,1
2011/2/15,16.0,8,1,11.3,8,1
2011/2/16,19.9,8,1,13.8,8,1
2011/2/17,24.3,8,1,18.4,8,1
2011/2/18,18.8,8,1,16.2,8,1
2011/2/19,18.8,8,1,15.3,8,1
2011/2/20,18.8,8,1,16.2,8,1
2011/2/21,21.4,8,1,15.7,8,1
2011/2/22,21.4,8,1,15.0,8,1
2011/2/23,22.2,8,1,14.6,8,1
2011/2/24,22.0,8,1,15.6,8,1
2011/2/25,22.8,8,1,13.3,8,1
2011/2/26,23.6,8,1,18.8,8,1
2011/2/27,23.9,8,1,18.7,8,1
2011/2/28,24.9,8,1,19.7,8,1
2011/3/1,22.0,8,1,16.4,8,1
2011/3/2,16.7,8,1,14.5,8,1
2011/3/3,16.4,8,1,13.9,8,1
2011/3/4,15.9,8,1,13.1,8,1
2011/3/5,19.1,8,1,12.4,8,1
2011/3/6,22.6,8,1,12.8,8,1
2011/3/7,21.0,8,1,14.3,8,1
2011/3/8,18.0,8,1,12.7,8,1
2011/3/9,19.1,8,1,11.6,8,1
2011/3/10,18.9,8,1,13.4,8,1
2011/3/11,18.7,8,1,14.5,8,1
2011/3/12,21.5,8,1,15.4,8,1
2011/3/13,23.1,8,1,18.5,8,1
2011/3/14,24.4,8,1,18.3,8,1
2011/3/15,21.5,8,1,15.5,8,1
2011/3/16,15.8,8,1,13.1,8,1
2011/3/17,16.3,4,1,13.0,4,1
2011/3/18,20.0,8,1,12.8,8,1
2011/3/19,23.3,8,1,15.5,8,1
2011/3/20,24.3,8,1,19.3,8,1
2011/3/21,25.4,8,1,20.6,8,1
2011/3/22,22.1,8,1,16.1,8,1
2011/3/23,16.5,8,1,15.0,8,1
2011/3/24,16.8,8,1,14.7,8,1
2011/3/25,17.1,8,1,13.3,8,1
2011/3/26,17.1,8,1,13.0,8,1
2011/3/27,15.7,8,1,13.9,8,1
2011/3/28,18.4,8,1,14.4,8,1
2011/3/29,21.2,8,1,15.2,8,1
2011/3/30,20.1,8,1,15.7,8,1
2011/3/31,21.0,8,1,16.0,8,1
2011/4/1,22.9,8,1,15.5,8,1
2011/4/2,23.6,8,1,16.1,8,1
2011/4/3,23.3,8,1,15.5,8,1
2011/4/4,19.6,8,1,17.3,8,1
2011/4/5,22.3,8,1,17.2,8,1
2011/4/6,23.4,8,1,17.1,8,1
2011/4/7,23.7,8,1,17.7,8,1
2011/4/8,25.2,8,1,18.3,8,1
2011/4/9,25.4,8,1,18.9,8,1
2011/4/10,25.4,8,1,19.2,8,1
2011/4/11,22.3,8,1,17.7,8,1
2011/4/12,21.8,8,1,16.2,8,1
2011/4/13,22.9,8,1,14.8,8,1
2011/4/14,24.2,8,1,17.0,8,1
2011/4/15,25.7,8,1,20.0,8,1
2011/4/16,25.9,8,1,22.0,8,1
2011/4/17,23.4,8,1,19.8,8,1
2011/4/18,22.5,8,1,18.0,8,1
2011/4/19,19.2,5,1,15.7,5,1
