ダウンロードした時刻：2020/12/19 12:09:19

,那覇,那覇,那覇,那覇,那覇,那覇
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2016/1/1,21.2,8,1,15.2,8,1
2016/1/2,24.1,8,1,14.8,8,1
2016/1/3,23.7,8,1,19.5,8,1
2016/1/4,21.0,8,1,19.1,8,1
2016/1/5,26.6,8,1,19.0,8,1
2016/1/6,22.4,8,1,18.3,8,1
2016/1/7,20.8,8,1,17.3,8,1
2016/1/8,20.1,8,1,13.8,8,1
2016/1/9,19.5,8,1,14.0,8,1
2016/1/10,21.2,8,1,14.5,8,1
2016/1/11,21.4,8,1,17.6,8,1
2016/1/12,20.1,8,1,16.7,8,1
2016/1/13,16.8,8,1,14.6,8,1
2016/1/14,16.5,8,1,13.6,8,1
2016/1/15,19.2,8,1,13.5,8,1
2016/1/16,21.8,8,1,15.0,8,1
2016/1/17,21.9,8,1,16.8,8,1
2016/1/18,20.2,8,1,16.3,8,1
2016/1/19,16.9,8,1,14.3,8,1
2016/1/20,16.4,8,1,13.5,8,1
2016/1/21,21.3,8,1,15.3,8,1
2016/1/22,18.4,8,1,15.6,8,1
2016/1/23,16.0,8,1,12.0,8,1
2016/1/24,12.5,8,1,6.1,8,1
2016/1/25,13.1,8,1,6.3,8,1
2016/1/26,15.7,8,1,10.2,8,1
2016/1/27,19.5,8,1,10.3,8,1
2016/1/28,22.5,8,1,16.9,8,1
2016/1/29,25.5,8,1,18.2,8,1
2016/1/30,19.8,8,1,17.5,8,1
2016/1/31,21.3,8,1,17.1,8,1
2016/2/1,19.4,8,1,14.8,8,1
2016/2/2,16.0,8,1,13.8,8,1
2016/2/3,18.0,8,1,14.7,8,1
2016/2/4,20.4,8,1,15.1,8,1
2016/2/5,18.7,8,1,15.4,8,1
2016/2/6,16.7,8,1,12.6,8,1
2016/2/7,16.3,8,1,11.2,8,1
2016/2/8,15.9,8,1,11.7,8,1
2016/2/9,18.9,8,1,9.8,8,1
2016/2/10,21.7,8,1,11.8,8,1
2016/2/11,22.6,8,1,17.0,8,1
2016/2/12,23.8,8,1,19.8,8,1
2016/2/13,25.9,8,1,21.7,8,1
2016/2/14,22.8,8,1,14.4,8,1
2016/2/15,14.9,8,1,12.0,8,1
2016/2/16,13.7,8,1,11.7,8,1
2016/2/17,16.3,8,1,12.7,8,1
2016/2/18,20.1,8,1,12.5,8,1
2016/2/19,22.2,8,1,16.9,8,1
2016/2/20,21.8,8,1,15.5,8,1
2016/2/21,18.5,8,1,14.5,8,1
2016/2/22,20.1,8,1,13.2,8,1
2016/2/23,21.6,8,1,17.5,8,1
2016/2/24,18.3,8,1,14.5,8,1
2016/2/25,16.8,8,1,13.9,8,1
2016/2/26,18.9,8,1,13.4,8,1
2016/2/27,19.9,8,1,15.3,8,1
2016/2/28,22.4,8,1,16.9,8,1
2016/2/29,19.1,8,1,13.4,8,1
2016/3/1,16.3,8,1,12.9,8,1
2016/3/2,19.4,8,1,11.4,8,1
2016/3/3,21.5,8,1,13.1,8,1
2016/3/4,23.6,8,1,15.7,8,1
2016/3/5,23.1,8,1,20.6,8,1
2016/3/6,23.6,8,1,18.6,8,1
2016/3/7,24.8,8,1,17.9,8,1
2016/3/8,24.7,8,1,18.6,8,1
2016/3/9,22.8,8,1,18.7,8,1
2016/3/10,18.8,8,1,15.0,8,1
2016/3/11,15.7,8,1,13.8,8,1
2016/3/12,19.4,8,1,14.5,8,1
2016/3/13,23.3,8,1,17.1,8,1
2016/3/14,21.9,8,1,15.9,8,1
2016/3/15,20.5,8,1,15.0,8,1
2016/3/16,19.2,8,1,16.6,8,1
2016/3/17,24.3,8,1,18.3,8,1
2016/3/18,24.6,8,1,20.9,8,1
2016/3/19,23.0,8,1,19.5,8,1
2016/3/20,22.3,8,1,18.5,8,1
2016/3/21,22.3,8,1,17.5,8,1
2016/3/22,22.3,8,1,18.6,8,1
2016/3/23,24.1,8,1,19.4,8,1
2016/3/24,20.3,8,1,17.0,8,1
2016/3/25,17.6,8,1,15.0,8,1
2016/3/26,18.6,8,1,15.2,8,1
2016/3/27,16.4,8,1,14.0,8,1
2016/3/28,18.9,8,1,12.7,8,1
2016/3/29,21.1,8,1,11.6,8,1
2016/3/30,23.1,8,1,15.6,8,1
2016/3/31,24.4,8,1,18.8,8,1
2016/4/1,22.0,8,1,18.1,8,1
2016/4/2,23.8,8,1,16.0,8,1
2016/4/3,24.3,8,1,16.7,8,1
2016/4/4,24.9,8,1,21.4,8,1
2016/4/5,26.0,8,1,21.2,8,1
2016/4/6,28.4,8,1,22.4,8,1
2016/4/7,27.7,8,1,23.8,8,1
2016/4/8,28.0,8,1,21.9,8,1
2016/4/9,23.4,8,1,21.7,8,1
2016/4/10,26.4,8,1,20.4,8,1
2016/4/11,21.4,8,1,19.7,8,1
2016/4/12,22.3,8,1,19.6,8,1
2016/4/13,24.8,8,1,20.7,8,1
2016/4/14,24.7,8,1,21.0,8,1
2016/4/15,26.2,8,1,20.1,8,1
2016/4/16,25.1,8,1,21.0,8,1
2016/4/17,24.8,8,1,20.9,8,1
2016/4/18,27.8,8,1,20.9,8,1
