ダウンロードした時刻：2020/12/19 12:08:58

,那覇,那覇,那覇,那覇,那覇,那覇
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2015/1/1,16.3,8,1,13.2,8,1
2015/1/2,16.4,8,1,13.2,8,1
2015/1/3,17.5,8,1,11.7,8,1
2015/1/4,20.5,8,1,10.8,8,1
2015/1/5,22.3,8,1,12.4,8,1
2015/1/6,22.2,8,1,15.5,8,1
2015/1/7,18.6,8,1,15.0,8,1
2015/1/8,15.7,8,1,14.5,8,1
2015/1/9,17.2,8,1,14.8,8,1
2015/1/10,18.0,8,1,14.1,8,1
2015/1/11,18.3,8,1,13.0,8,1
2015/1/12,18.2,8,1,14.1,8,1
2015/1/13,21.0,8,1,14.7,8,1
2015/1/14,21.7,8,1,17.1,8,1
2015/1/15,19.4,5,1,15.9,5,1
2015/1/16,18.7,8,1,15.8,8,1
2015/1/17,17.0,8,1,14.5,8,1
2015/1/18,17.1,8,1,13.6,8,1
2015/1/19,18.1,8,1,14.2,8,1
2015/1/20,20.2,8,1,14.4,8,1
2015/1/21,21.2,8,1,17.2,8,1
2015/1/22,17.7,8,1,14.3,8,1
2015/1/23,16.5,8,1,12.5,8,1
2015/1/24,20.0,8,1,9.8,8,1
2015/1/25,22.1,8,1,13.6,8,1
2015/1/26,23.5,8,1,17.4,8,1
2015/1/27,20.2,8,1,17.0,8,1
2015/1/28,18.0,8,1,15.4,8,1
2015/1/29,21.3,8,1,15.5,8,1
2015/1/30,20.0,8,1,15.0,8,1
2015/1/31,15.7,8,1,13.9,8,1
2015/2/1,17.5,8,1,13.7,8,1
2015/2/2,19.6,8,1,14.3,8,1
2015/2/3,18.5,8,1,15.3,8,1
2015/2/4,17.8,8,1,15.0,8,1
2015/2/5,15.8,8,1,12.7,8,1
2015/2/6,16.9,8,1,12.5,8,1
2015/2/7,19.2,8,1,12.1,8,1
2015/2/8,16.7,8,1,12.2,8,1
2015/2/9,14.2,8,1,10.0,8,1
2015/2/10,15.8,8,1,11.2,8,1
2015/2/11,18.3,8,1,9.6,8,1
2015/2/12,18.9,8,1,13.4,8,1
2015/2/13,17.7,8,1,13.5,8,1
2015/2/14,19.0,8,1,11.6,8,1
2015/2/15,21.4,8,1,12.7,8,1
2015/2/16,22.0,8,1,17.1,8,1
2015/2/17,19.7,8,1,15.5,8,1
2015/2/18,17.7,8,1,14.4,8,1
2015/2/19,17.0,8,1,13.5,8,1
2015/2/20,19.4,8,1,12.3,8,1
2015/2/21,21.7,8,1,14.6,8,1
2015/2/22,24.0,8,1,18.5,8,1
2015/2/23,23.3,8,1,18.1,8,1
2015/2/24,21.5,8,1,17.7,8,1
2015/2/25,24.3,8,1,16.4,8,1
2015/2/26,25.0,8,1,20.4,8,1
2015/2/27,20.7,8,1,17.3,8,1
2015/2/28,22.9,8,1,17.2,8,1
2015/3/1,21.7,8,1,15.4,8,1
2015/3/2,19.1,8,1,14.9,8,1
2015/3/3,23.7,8,1,16.3,8,1
2015/3/4,17.0,8,1,14.4,8,1
2015/3/5,19.3,8,1,14.3,8,1
2015/3/6,19.6,8,1,16.4,8,1
2015/3/7,20.9,8,1,16.6,8,1
2015/3/8,20.9,8,1,16.2,8,1
2015/3/9,20.1,8,1,16.1,8,1
2015/3/10,16.2,8,1,12.3,8,1
2015/3/11,16.6,8,1,12.4,8,1
2015/3/12,16.5,8,1,13.1,8,1
2015/3/13,21.4,8,1,11.4,8,1
2015/3/14,23.5,8,1,17.5,8,1
2015/3/15,24.5,8,1,20.8,8,1
2015/3/16,24.8,8,1,20.4,8,1
2015/3/17,24.9,8,1,20.0,8,1
2015/3/18,24.6,8,1,19.1,8,1
2015/3/19,25.3,8,1,20.7,8,1
2015/3/20,23.8,8,1,20.5,8,1
2015/3/21,24.5,8,1,19.5,8,1
2015/3/22,23.7,8,1,18.1,8,1
2015/3/23,22.5,8,1,15.2,8,1
2015/3/24,21.2,8,1,15.4,8,1
2015/3/25,18.8,8,1,15.0,8,1
2015/3/26,20.6,8,1,16.2,8,1
2015/3/27,22.2,8,1,18.0,8,1
2015/3/28,23.4,8,1,18.6,8,1
2015/3/29,23.1,8,1,18.8,8,1
2015/3/30,24.9,8,1,17.2,8,1
2015/3/31,25.5,8,1,20.0,8,1
2015/4/1,26.6,8,1,21.2,8,1
2015/4/2,27.5,8,1,21.7,8,1
2015/4/3,27.4,8,1,22.3,8,1
2015/4/4,28.8,8,1,22.5,8,1
2015/4/5,28.7,8,1,23.9,8,1
2015/4/6,27.9,8,1,23.4,8,1
2015/4/7,27.0,8,1,22.5,8,1
2015/4/8,22.5,8,1,18.2,8,1
2015/4/9,23.6,8,1,19.0,8,1
2015/4/10,23.5,8,1,19.2,8,1
2015/4/11,22.2,8,1,19.1,8,1
2015/4/12,23.4,8,1,19.2,8,1
2015/4/13,21.7,8,1,17.5,8,1
2015/4/14,21.0,8,1,16.8,8,1
2015/4/15,22.5,8,1,16.7,8,1
2015/4/16,24.7,8,1,16.8,8,1
2015/4/17,27.9,8,1,19.3,8,1
2015/4/18,24.7,8,1,21.5,8,1
2015/4/19,24.6,8,1,21.9,8,1
