ダウンロードした時刻：2020/12/19 12:09:24

,那覇,那覇,那覇,那覇,那覇,那覇
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2017/1/1,22.9,8,1,18.1,8,1
2017/1/2,24.8,8,1,16.9,8,1
2017/1/3,23.3,8,1,20.5,8,1
2017/1/4,23.2,8,1,19.5,8,1
2017/1/5,23.3,8,1,19.7,8,1
2017/1/6,25.0,8,1,20.2,8,1
2017/1/7,24.7,8,1,18.3,8,1
2017/1/8,23.9,8,1,20.3,8,1
2017/1/9,20.4,8,1,18.1,8,1
2017/1/10,20.0,8,1,18.0,8,1
2017/1/11,20.3,8,1,17.1,8,1
2017/1/12,19.8,8,1,16.9,8,1
2017/1/13,18.2,8,1,15.5,8,1
2017/1/14,17.5,8,1,15.9,8,1
2017/1/15,17.7,8,1,14.8,8,1
2017/1/16,17.9,8,1,14.1,8,1
2017/1/17,20.8,8,1,13.5,8,1
2017/1/18,22.3,8,1,17.6,8,1
2017/1/19,22.9,8,1,17.8,8,1
2017/1/20,20.2,5,1,13.9,5,1
2017/1/21,18.2,8,1,13.6,8,1
2017/1/22,17.7,8,1,13.0,8,1
2017/1/23,16.6,8,1,13.7,8,1
2017/1/24,18.2,8,1,12.3,8,1
2017/1/25,19.3,8,1,14.0,8,1
2017/1/26,19.9,8,1,14.0,8,1
2017/1/27,21.9,8,1,12.9,8,1
2017/1/28,22.9,8,1,17.1,8,1
2017/1/29,22.1,8,1,17.4,8,1
2017/1/30,24.5,8,1,16.5,8,1
2017/1/31,19.4,8,1,15.8,8,1
2017/2/1,21.4,8,1,16.1,8,1
2017/2/2,19.1,8,1,15.4,8,1
2017/2/3,20.8,8,1,14.4,8,1
2017/2/4,21.8,8,1,15.3,8,1
2017/2/5,23.8,8,1,17.6,8,1
2017/2/6,19.5,8,1,16.1,8,1
2017/2/7,19.2,8,1,16.0,8,1
2017/2/8,19.2,8,1,15.2,8,1
2017/2/9,19.1,8,1,12.0,8,1
2017/2/10,13.9,8,1,11.5,8,1
2017/2/11,14.4,8,1,11.5,8,1
2017/2/12,16.5,8,1,10.7,8,1
2017/2/13,17.3,8,1,11.7,8,1
2017/2/14,18.9,8,1,11.5,8,1
2017/2/15,19.2,8,1,11.6,8,1
2017/2/16,21.6,8,1,13.2,8,1
2017/2/17,24.3,8,1,18.9,8,1
2017/2/18,21.9,8,1,17.1,8,1
2017/2/19,20.5,8,1,14.0,8,1
2017/2/20,22.6,8,1,18.5,8,1
2017/2/21,21.7,8,1,17.5,8,1
2017/2/22,23.2,8,1,18.4,8,1
2017/2/23,21.9,8,1,15.2,8,1
2017/2/24,16.4,8,1,14.3,8,1
2017/2/25,18.1,8,1,14.5,8,1
2017/2/26,16.6,8,1,14.4,8,1
2017/2/27,20.4,8,1,13.6,8,1
2017/2/28,18.6,8,1,14.7,8,1
2017/3/1,18.7,8,1,16.1,8,1
2017/3/2,18.5,5,1,13.7,5,1
2017/3/3,17.7,8,1,13.1,8,1
2017/3/4,21.5,8,1,11.8,8,1
2017/3/5,23.8,8,1,15.5,8,1
2017/3/6,21.5,8,1,16.0,8,1
2017/3/7,18.0,8,1,15.3,8,1
2017/3/8,18.0,8,1,14.4,8,1
2017/3/9,16.8,8,1,13.7,8,1
2017/3/10,16.4,8,1,12.4,8,1
2017/3/11,17.8,8,1,12.8,8,1
2017/3/12,23.1,8,1,17.3,8,1
2017/3/13,22.5,8,1,19.6,8,1
2017/3/14,21.0,8,1,16.6,8,1
2017/3/15,19.1,8,1,14.4,8,1
2017/3/16,19.6,8,1,14.3,8,1
2017/3/17,22.3,8,1,16.8,8,1
2017/3/18,24.0,8,1,18.4,8,1
2017/3/19,20.6,8,1,18.9,8,1
2017/3/20,24.6,8,1,19.8,8,1
2017/3/21,21.9,8,1,17.1,8,1
2017/3/22,21.7,8,1,14.8,8,1
2017/3/23,23.6,8,1,19.0,8,1
2017/3/24,22.3,8,1,18.1,8,1
2017/3/25,20.7,8,1,17.7,8,1
2017/3/26,18.6,8,1,16.0,8,1
2017/3/27,20.1,8,1,16.0,8,1
2017/3/28,21.0,8,1,13.5,8,1
2017/3/29,23.7,8,1,15.0,8,1
2017/3/30,24.5,8,1,18.4,8,1
2017/3/31,25.0,8,1,17.5,8,1
2017/4/1,18.3,8,1,15.2,8,1
2017/4/2,19.3,8,1,14.9,8,1
2017/4/3,21.9,8,1,16.9,8,1
2017/4/4,22.2,8,1,14.8,8,1
2017/4/5,24.6,8,1,19.0,8,1
2017/4/6,24.2,8,1,20.7,8,1
2017/4/7,25.0,8,1,21.7,8,1
2017/4/8,27.0,8,1,21.5,8,1
2017/4/9,27.1,8,1,22.0,8,1
2017/4/10,26.0,8,1,23.0,8,1
2017/4/11,24.4,8,1,19.8,8,1
2017/4/12,20.6,8,1,16.6,8,1
2017/4/13,24.4,8,1,18.1,8,1
2017/4/14,25.4,8,1,19.2,8,1
2017/4/15,25.6,8,1,21.1,8,1
2017/4/16,26.4,8,1,21.8,8,1
2017/4/17,26.6,8,1,22.7,8,1
2017/4/18,24.2,8,1,19.8,8,1
2017/4/19,26.6,8,1,21.0,8,1
