ダウンロードした時刻：2020/12/19 12:08:44

,那覇,那覇,那覇,那覇,那覇,那覇
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2012/1/1,18.8,8,1,14.5,8,1
2012/1/2,18.3,8,1,14.8,8,1
2012/1/3,19.2,8,1,13.4,8,1
2012/1/4,15.7,8,1,13.4,8,1
2012/1/5,15.1,8,1,13.8,8,1
2012/1/6,17.8,8,1,14.7,8,1
2012/1/7,17.6,8,1,14.8,8,1
2012/1/8,21.9,8,1,16.0,8,1
2012/1/9,19.3,8,1,17.2,8,1
2012/1/10,19.3,8,1,16.5,8,1
2012/1/11,17.9,8,1,15.3,8,1
2012/1/12,16.5,8,1,14.2,8,1
2012/1/13,19.0,8,1,14.7,8,1
2012/1/14,21.2,8,1,15.8,8,1
2012/1/15,23.3,8,1,18.1,8,1
2012/1/16,18.6,8,1,16.9,8,1
2012/1/17,20.1,8,1,16.8,8,1
2012/1/18,21.7,8,1,16.4,8,1
2012/1/19,23.5,8,1,18.8,8,1
2012/1/20,20.1,8,1,17.2,8,1
2012/1/21,19.1,8,1,16.7,8,1
2012/1/22,18.0,8,1,14.3,8,1
2012/1/23,15.6,8,1,13.6,8,1
2012/1/24,17.3,8,1,13.3,8,1
2012/1/25,14.8,8,1,12.9,8,1
2012/1/26,17.2,8,1,11.6,8,1
2012/1/27,19.6,8,1,13.3,8,1
2012/1/28,23.6,8,1,17.5,8,1
2012/1/29,22.4,8,1,17.4,8,1
2012/1/30,19.4,8,1,16.2,8,1
2012/1/31,17.3,8,1,13.5,8,1
2012/2/1,19.4,8,1,12.3,8,1
2012/2/2,15.6,8,1,12.4,8,1
2012/2/3,13.9,8,1,12.4,8,1
2012/2/4,18.8,8,1,12.4,8,1
2012/2/5,22.9,8,1,17.2,8,1
2012/2/6,23.8,8,1,19.6,8,1
2012/2/7,21.9,8,1,14.0,8,1
2012/2/8,14.2,8,1,12.3,8,1
2012/2/9,16.9,8,1,12.4,8,1
2012/2/10,21.5,8,1,11.9,8,1
2012/2/11,20.0,8,1,16.0,8,1
2012/2/12,21.4,8,1,16.3,8,1
2012/2/13,23.6,8,1,19.1,8,1
2012/2/14,25.0,8,1,19.7,8,1
2012/2/15,25.0,8,1,19.6,8,1
2012/2/16,20.1,8,1,16.3,8,1
2012/2/17,16.6,8,1,12.4,8,1
2012/2/18,13.6,8,1,12.6,8,1
2012/2/19,15.8,8,1,12.5,8,1
2012/2/20,18.3,5,1,13.0,5,1
2012/2/21,21.1,8,1,17.2,8,1
2012/2/22,23.6,8,1,19.1,8,1
2012/2/23,23.6,8,1,18.4,8,1
2012/2/24,21.3,8,1,18.8,8,1
2012/2/25,21.6,8,1,16.1,8,1
2012/2/26,17.0,8,1,14.5,8,1
2012/2/27,17.8,8,1,14.3,8,1
2012/2/28,22.4,8,1,16.9,8,1
2012/2/29,21.5,8,1,17.6,8,1
2012/3/1,24.7,8,1,17.0,8,1
2012/3/2,25.0,8,1,19.6,8,1
2012/3/3,22.1,8,1,18.4,8,1
2012/3/4,25.9,8,1,19.0,8,1
2012/3/5,26.7,8,1,21.9,8,1
2012/3/6,26.0,8,1,19.7,8,1
2012/3/7,25.2,8,1,19.6,8,1
2012/3/8,22.8,8,1,19.3,8,1
2012/3/9,20.7,8,1,18.2,8,1
2012/3/10,18.6,8,1,16.2,8,1
2012/3/11,17.4,8,1,15.5,8,1
2012/3/12,17.1,8,1,13.6,8,1
2012/3/13,18.9,8,1,13.7,8,1
2012/3/14,20.6,8,1,15.9,8,1
2012/3/15,19.7,8,1,15.3,8,1
2012/3/16,24.2,8,1,19.1,8,1
2012/3/17,25.9,8,1,21.8,8,1
2012/3/18,25.7,8,1,20.1,8,1
2012/3/19,22.9,8,1,17.9,8,1
2012/3/20,22.6,8,1,18.5,8,1
2012/3/21,19.9,8,1,16.5,8,1
2012/3/22,25.5,8,1,19.2,8,1
2012/3/23,26.3,8,1,17.0,8,1
2012/3/24,17.5,8,1,15.1,8,1
2012/3/25,19.0,8,1,14.2,8,1
2012/3/26,19.7,8,1,12.5,8,1
2012/3/27,21.3,8,1,12.8,8,1
2012/3/28,23.5,8,1,13.9,8,1
2012/3/29,23.9,8,1,14.8,8,1
2012/3/30,24.5,8,1,19.0,8,1
2012/3/31,22.9,8,1,16.1,8,1
2012/4/1,22.0,8,1,14.9,8,1
2012/4/2,23.7,8,1,17.5,8,1
2012/4/3,24.4,8,1,15.2,8,1
2012/4/4,20.2,8,1,14.4,8,1
2012/4/5,22.5,8,1,15.4,8,1
2012/4/6,22.3,8,1,17.7,8,1
2012/4/7,22.6,8,1,17.0,8,1
2012/4/8,22.8,8,1,16.0,8,1
2012/4/9,24.9,8,1,19.6,8,1
2012/4/10,26.5,8,1,20.4,8,1
2012/4/11,26.1,8,1,21.4,8,1
2012/4/12,24.9,8,1,20.1,8,1
2012/4/13,27.1,8,1,21.8,8,1
2012/4/14,23.6,8,1,20.5,8,1
2012/4/15,25.5,8,1,20.1,8,1
2012/4/16,23.6,8,1,21.3,8,1
2012/4/17,25.7,8,1,20.2,8,1
2012/4/18,24.7,8,1,18.5,8,1
